Unnamed: 0	article_id	article_auteur	article_détail	article_titre	revue_annee	revue_numero	article_page	Unnamed: 8
0.0	AHMC-02-5	Marchoux.	Chapitre premier. Importance des affections à pneumocoques Chap II Etiologie  Chapitre III. Maladie et microbe. Chapitre IV   Pneumocoque et maladie du sommeil ChapV Essais de traitement sérothérapiques	Rôle du pneumocoque dans la pathologie des indigènes du Sénégal et dans la pathogénie de la maladie du sommeil.	1899	2	5	
6.0	AHMC-02-26	Clavel	1° Transport par deux hommes à l'aide des bretelles sur les épaules. 2° Transportpar deux hommes à l'aide de deux bambous 3° Transport par deux hommes à l'aide d'un seul bambou sur la tête 4° quatre hommes à l'aide de deux bambous 5°quatre hommes placés deux à deux à la même hauteur	Brancard-palanquin Franck-Fontaine pour le transport des malades et des blessés aux colonies.	1899	2	26	
12.0	AHMC-02-47	Le Jollec	Extrait du rapport annuel	Morbidité et mortalité. À la Guyane française pendant l'année 1897. 	1899	2	47	
15.0	AHMC-02-65	Bréaudat;Turié		Analyse bactériologique et chimique de l'eau d'alimentation de la ville de Hanoi (Tonkin).	1899	2	65	
16.0	AHMC-02-80	P.-L  Simond	Rôle du rat dans la propagation de la peste par terre et mer- Objections faites à la propagation des rats - Contagion d'homme à homme. — Influence des saisons sur le développement de l'épidémie. — Recrudescence périodique. Durée de l'inoculation de la peste. — Prophylaxie	La propagation de la peste.	1899	2	80	
20.0	AHMC-02-98	Lecomte		Rapport sur les opérations de vaccination pratiquées dans l'Ogooué (Congo français) en 1896-1897.	1899	2	98	
21.0	AHMC-02-103	Blin		Épidémie d'ophtalmie purulente observée dans les établissements français de l'Inde, attribuée à un petit diptère du groupe des simulies ou moucherons.	1899	2	103	
22.0	AHMC-02-108			La peste à Tamatave	1899	2	108	
23.0	AHMC-02-109	Pinard		Kérato-conjonctivite produite par un serpent cracheur.	1899	2	109	
24.0	AHMC-02-110	Le Corre		Clinique d'Outre-Mer. Abcès du foie traités à l'hôpital de Saigon pendant l'année 1897.	1899	2	110	
25.0	AHMC-02-121	L.Mul	L'Onémé – Dogba-  Sagon-Zagnanado. Région des Makis-Savalou-Carnotville₋Parakou-Les Baribas-Contrepoison des blessures de flèches-Les Peulhs-Nikki-Élection du roi-Langues-Colonne du Borgou-	Variétés. Quatre mois de séjour dans le Haut-Dahomey.	1899	2	121	
39.0	AHMC-02-145	J.Camail	Météorologie-Population-Ville de Saint-Pierre-Pathologies	Contribution à la géographie médicale des îles Saint-Pierre et Miquelon.	1899	2	145	
43.0	AHMC-02-175	Carré ;Fraimbault ; Yersin		Résultats d'expériences faites à l'Institut Pasteur de Nha-Trang (Annam) sur le traitement de la peste bovine.	1899	2	175	
44.0	AHMC-02-182	Sérez 		Morbidité et mortalité en Annam-Tonkin pendant l'année 1897. Extrait du rapport annuel	1899	2	182	
47.0	AHMC-02-214	M. A  Pairault		Notes sur la fabrication du rhum à la Guadeloupe.	1899	2	214	
48.0	AHMC-02-227	Morel		Contribution à la géographie médicale. Observation d'un cas de fièvre bilieuse hémoglobinurique aux Nouvelles-Hébrides.	1899	2	227	
49.0	AHMC-02-231	Escande De Messières		Des maladies provoquées ou simulées chez les condamnés aux travaux forcés.	1899	2	231	
50.0	AHMC-02-241	Laveran 		"Rapport sur un travail de M. le Docteur Ronald Ross, intitulé : ""Note pour l'histoire du parasite du paludisme en dehors de l'organisme humain"", présenté à l'académie de médecine dans la séance du 31 janvier 1899"	1899	2	241	
51.0	AHMC-02-250	Delay		Rapport médical sommaire sur l'épidémie de peste bubonique observée à Mongtzé (Chine) pendant les mois de juillet-août 1898.	1899	2	250	
53.0	AHMC-02-258	L. Mul	Observations résumées. Variétés. Quatre mois de séjour dans le Haut-Dahomey.	Rapport médical sommaire sur l'épidémie de peste bubonique observée à Mongtzé (Chine) pendant les mois de juillet-août 1898. 	1899	2	258	
54.0	AHMC-02-266	Paul Guérin		Clinique d'Outre-Mer. Rupture du diaphragme.	1899	2	266	
55.0	AHMC-02-271	Perrot ;Bouyssou		Clinique d'Outre-Mer.Sur un cas d'arrêt de développement (exomphalie).	1899	2	271	
56.0	AHMC-02-273			Mesures prises à Tamatave. Pour localiser l'épidémie de peste et pour l'enrayer	1899	2	273	
58.0	AHMC-02-289	Gries		Relation d'une recrudescence endémo-épidémique de fièvre jaune observée à la Martinique dans le cours des années 1895. 1896. 1897 et 1898.	1899	2	289	
62.0	AHMC-02-322	Duvigneau		Morbidité et mortalité au Congo français pendant l'année 1897. Extrait du rapport	1899	2	322	
63.0	AHMC-02-334	Spire		Notes médicales sur le Haut-Oubangui.	1899	2	334	
64.0	AHMC-02-345	A. Kermorgant	Guadeloupe-Martinique-Sénégal et côte occidentale d'Afrique-Réunion. Madagascar- Indo-Chine-Projet de station sanitaire à Langsa, province de Nha-Trang (Annam)	Sanatoria et camps de dissémination de nos colonies	1899	2	345	
71.0	AHMC-02-365	L.  Bréaudat		Sur la constitution chimique des ferments solubles oxydants.	1899	2	365	
72.0	AHMC-02-378	Yersin		L'épidémie de peste à Nha-Trang de juin à octobre 1898.	1899	2	378	
73.0	AHMC-02-390	Thoulon		Peste bubonique observée à Ping-Shiang (province de Kouang-Si (Chine), avril-mai-juin 1898). Extrait du rapport	1899	2	390	
74.0	AHMC-02-399	Thiroux		Rapport sur la sérothérapie de la peste bubonique.	1899	2	399	
75.0	AHMC-02-408	Jourdran		Note sur une araignée de Madagascar (Mena-vody des indigènes).	1899	2	408	
76.0	AHMC-02-411	Marchoux		Diagnostic bactériologique de la fièvre typhoïde dans les pays chauds.	1899	2	411	
77.0	AHMC-02-417			Morsures de serpents traitées par le sérum antivenimeux du Dr Calmette	1899	2	417	
78.0	AHMC-02-423	Jourdran		Clinique d'Outre-Mer. Trois cas de calculs vésicaux chez des enfants malgaches opérés par la taille hypogastrique.	1899	2	423	
79.0	AHMC-02-426			Instructions pour l'emploi du sérum antivénimeux	1899	2	426	
80.0	AHMC-02-427			Instructions pour la récolte du venin des serpents destiné à vacciner les animaux qui fournissent le sérum antivenimeux	1899	2	427	
81.0	AHMC-02-433	Simond	I Fonctionnement du service vaccinogène  II Fonctionnement des services vaccinaux de l'Indo-Chine III Projet de réorganisation des services vaccinaux de l'Indo-Chine IV Fonctionnement du service de la rage 	Fonctionnement de l'Institut Pasteur de Saïgon et des services vaccinaux de l'Indo-Chine, pendant l'année 1898.	1899	2	433	
87.0	AHMC-02-471	Lasnet	Ethnologie-Médecine-Pathologie	Notes d'ethnologie et de médecine sur les Sakalaves du Nord-Ouest.	1899	2	471	
90.0	AHMC-02-497		Principaux symptômes de la peste. Emploi du sérum antipesteux	Instructions adressées à nos colonies de la côte occidentale d'Afrique, au sujet des mesures à prendre en cas de peste	1899	2	497	
93.0	AHMC-02-509	Tédeschi		Note sur l'immunité vaccinale due à la variole et les causes fréquentes d'insuccès de la vaccination au Tonkin.	1899	2	509	
94.0	AHMC-02-513	Thiroux		Rapport sur la lymphangite infectieuse de la Réunion.	1899	2	513	
95.0	AHMC-02-521	Tédeschi		Hygiène professionnelle. Accidents provoqués par la manipulation de la laque au Tonkin.	1899	2	521	
96.0	AHMC-02-529	Drevon		Hygiène professionnelle. Vanillisme.	1899	2	529	
97.0	AHMC-02-533	Henri Vergoz		Variole et vaccination à la Côte d'Ivoire. juillet à décembre 1897. année 1898 et janvier 1899.	1899	2	533	
98.0	AHMC-02-545	Pignet;Ferraud		Quelques mots sur le lait.	1899	2	545	
99.0	AHMC-02-548	Couderc		Deux cas de Sphacèle étendu observés sur des noirs du Sénégal.	1899	2	548	
100.0	AHMC-02-552	Pottier		Note sur l'huile de Camellia Drupifera.	1899	2	552	
101.0	AHMC-02-555	Palmyr Cordier		Variétés. Médecins et médecine au Bengale.	1899	2	555	
102.0	AHMC-02-583	Roubaud		Clinique d'Outre-Mer. Expulsion d'un foetus mort et momifié, à la suite de l'accouchement d'un enfant vivant et presque à terme.	1899	2	583	
0.0	AHMC-03-5	Miquel		Contribution à la géographie médicale. Notes médicales sur l'expédition du Fouta-Djallon et sur le poste de Timbo (mars à décembre 1896).	1900	3	5	
2.0	AHMC-03-17	Lasnet	1° Tisanes 2° Infusions pour lavages, bains, gargarismes 3° Fumigations 4° Pâtes,pommades, cataplasme  7° Préservateurs, amulettes, recettes diverses. — Bétaly	Notes sur la pharmacopée des Sakalaves du Nord-Ouest.	1900	3	17	
10.0	AHMC-03-43	Paul Gouzien	I Injections hypodermiques massives de sérum artificiel  II Notice sur l'Ahouandémé(1)   III Observations	Note sur l'emploi de l'Ahouandémé (Cassia Occidentalis L.), et des injections hypodermiques massives de sérum artificiel dans le traitement de la fièvre bilieuse hémoglobinurique.	1900	3	43	
16.0	AHMC-03-100	Mondon	Nombre d'abcès et répartition des abcès - Poids moyen du foie et de la rate -  Symptômes observés	Notes sur des abcès du foie observés au Tonkin.	1900	3	100	
20.0	AHMC-03-114	Damiens		Du fond de l'oeil normal dans la race noire et de l'examen à l'ophtalmoscope (image renversée).	1900	3	114	
21.0	AHMC-03-119	Marchoux		Fonctionnement du laboratoire de microbiologie de Saint-Louis (Sénégal) et note sur la dysenterie des pays chauds.	1900	3	119	
22.0	AHMC-03-132	L. Touin		Clinique d'Outre-Mer. Note sur un cas de calculs multiples de l'urètre chez l'homme.	1900	3	132	
23.0	AHMC-03-134	Kieffer		Éléphantasis du scrotum pesant 80 kilos. Extrait du rapport	1900	3	134	
25.0	AHMC-03-138			Instructions sommaires pour aider à la récolte des produits de nos colonies	1900	3	138	
26.0	AHMC-03-145	Delay	— Climatologie II. — Eaux potables. III. — Alimentation. IV — Pathologie. V. — Peste bovine. VI — Utilité de créer un hôpital et des laboratoires – VII.  — Maladies observées tant au cours de la mission d'études qu'au poste médical de Yun-Nan-Sen	Géographie médicale. Notes sur le Yun-Nan (Chine).	1900	3	145	
31.0	AHMC-03-172	Bouffard		Géographie médicale. Notes médicales recueillies à Tchen-Tou, capitale de la province du Setchouen (Chine).	1900	3	172	
32.0	AHMC-03-183	Andrieux		Épidémie de béribéri observée à Poulo-Condore en 1897-1898.	1900	3	183	
33.0	AHMC-03-190	Sérez 		Poussée épidémique de paludisme observée en Annam. Extrait du rapport du mois de décembre 1898	1900	3	190	
34.0	AHMC-03-193			Apercu sur les conditions hygiéniques de Tamatave	1900	3	193	
35.0	AHMC-03-203	L  Bréaudat		Nouvelles recherches sur les fonctions diastasiques des plantes indigofères.	1900	3	203	
36.0	AHMC-03-206	Albert Pairault		Notes sur la valeur alimentaire et industrielle des plantes comestibles féculentes cultivées aux Antilles.	1900	3	206	
37.0	AHMC-03-216	Fr Turié		Sur le dosage de la silice et du fer dans les eaux potables.	1900	3	216	
38.0	AHMC-03-218	Métin	Origine de la peste à Porto - Symptomatologie de la peste	La peste de Porto.	1900	3	218	
43.0	AHMC-03-265	Paul Guérin		De la toxicité des physalies.	1900	3	265	
44.0	AHMC-03-271	Rigollet		Observations d'hépatite suppurée recueillies à Kati (Soudan français) en 1898.	1900	3	271	
45.0	AHMC-03-282	Talbot		Circoncision rituelle de la femme dans l'Afrique occidentale.	1900	3	282	
46.0	AHMC-03-286	Le Dantec ;Boyé		Étude d'une labiée à racine tuberculeuse servant à l'alimentation des indigènes du Soudan et pouvant remplacer la pomme de terre aux colonies.	1900	3	286	
47.0	AHMC-03-292	Blin		Variétés. Préjugés des Hindous sur la variole.	1900	3	292	
49.0	AHMC-03-305	A. Kermorgant ;G Reynaud		Précautions hygiéniques à prendre pour les expéditions et les explorations aux pays chauds.	1900	3	305	
60.0	AHMC-03-414	Paul Gouzien		Note complémentaire sur l'emploi de la sérothérapie artificielle dans le traitement de la fièvre bilieuse hémoglobinurique. — Relevés statistiques.	1900	3	414	
63.0	AHMC-03-447			Situation sanitaire du Japon	1900	3	447	
64.0	AHMC-03-451	Boyé. 	Colonne du lieutenant-colonel Bertin - Combats de Tombougou et de Sokoura	Les Colonnes contre Samory dans la région sud du Soudan français (septembre 1897 à octobre 1898).	1900	3	451	
73.0	AHMC-03-492	Gaide	Pathologie	Notes médicales sur la Chine.	1900	3	492	
77.0	AHMC-03-506	Yersin		Fonctionnement de l'Institut Pasteur de Nha-Trang (Annam).	1900	3	506	
78.0	AHMC-03-520	Merveilleux. 	Morbidité et mortalité. Chapitre premier Considérations générales sur la morbidité et la mortalité de l'année	Réunion. Hôpitaux coloniaux. Morbidité et mortalité en 1899.	1900	3	520	
81.0	AHMC-03-537			Mesures prises à Tamatave et à Antsirane (Madagascar), contre la peste qui a régné dans ces deux localités pendant l'année 1899	1900	3	537	
82.0	AHMC-03-541	Mondon		Maladies épidémiques qui ont régné à la Côte d'Ivoire au cours de l'année 1899. Extrait du rapport	1900	3	541	
83.0	AHMC-03-547	Touin	Code quarantenaire	Mesures et procédés de désinfection imposés en Amérique aux provenances des Antilles.	1900	3	547	
86.0	AHMC-03-562	Rencurel		Les sarimbavy. Perversion sexuelle observée en Émyrne.	1900	3	562	
87.0	AHMC-03-569	Métin(traduction)		Rapport du capitaine Stevenson I.-M.-S. sur les vaccinations par les sérums d'Haffkin et de Yersin. Traduction de M	1900	3	569	
0.0	AHMC-04-5	Angier		Le Cambodge. Géographie médicale.	1901	4	5	
4.0	AHMC-04-60	J.-A  Chabaneix		Notes médicales sur l'Abyssinie.	1901	4	60	
11.0	AHMC-04-77	Palmyr Cordier		Origines, évolution et décadence de la médecine indienne.	1901	4	77	
12.0	AHMC-04-89	Primet		Nouvelle-Calédonie. Hôpitaux. Morbidité et mortalité en 1899. Extrait du rapport 	1901	4	89	
13.0	AHMC-04-99	J.-C Baurac		De quelques maladies simulées en Cochinchine.	1901	4	99	
14.0	AHMC-04-113	E Heckel		Contribution à l'étude des plantes médicinales et toxiques employées par les indigènes de la Côte d'Ivoire (Afrique occidentale).	1901	4	113	
15.0	AHMC-04-121	Burdin		Notes médicales sur le contesté franco-brésilien. Extrait du rapport 	1901	4	121	
16.0	AHMC-04-128	P.-L.-S  Simond 		Paludisme.	1901	4	128	
17.0	AHMC-04-134	G  Blin		Un accouchement au Dahomey.	1901	4	134	
18.0	AHMC-04-141			Institut Pasteur de Madagascar	1901	4	141	
19.0	AHMC-04-142			Désinfection des puits par le permanganate de potasse	1901	4	142	
20.0	AHMC-04-144			Impotence fonctionnelle observée sur les pêcheurs de thon aux Antilles	1901	4	144	
21.0	AHMC-04-145			Conservation du vaccin	1901	4	145	
22.0	AHMC-04-146			Variétés. Quelques us et coutumes des indigènes de la Côte d'Ivoire	1901	4	146	
23.0	AHMC-04-157	Lafont		L'île d'Anjouan.	1901	4	157	
30.0	AHMC-04-192	A.  Vallet		Notes médicales sur le poste de Dori, région du Liptako.	1901	4	192	
31.0	AHMC-04-205	Ortholan		Quelques notes sur Ssé-Mao (Chine).	1901	4	205	
32.0	AHMC-04-210	A. Kermorgant		Eaux thermales et minérales des colonies françaises(1).	1901	4	210	
43.0	AHMC-04-248	Kieffer		Sénégal et Soudan. Hôpitaux. Morbidité et mortalité en 1899. Extrait du Rapport 	1901	4	248	
44.0	AHMC-04-258	Primet		Rapport sommaire sur l'épidémie de peste qui a régné en Nouvelle-Calédonie du 23 décembre 1899 au 9 mars 1900.	1901	4	258	
45.0	AHMC-04-267	Bloch		Sur un procédé de dosage volumétrique des phosphates alcalino-terreux dans le lait.	1901	4	267	
46.0	AHMC-04-274	Miquel		Traitement de la lèpre par les injections sous-cutanées d'huile de Chaulmoogra.	1901	4	274	
47.0	AHMC-04-284	Camail		Morbidité et mortalité des troupes aux colonies (Tonkin, Cochinchine, Madagascar, Sénégal, Guyane).	1901	4	284	
48.0	AHMC-04-296	E Marchoux		Piroplasma canis (Lav.), chez les chiens du Sénégal.	1901	4	296	
49.0	AHMC-04-298	Boyé ;Le Dantec		Kéloïde fibromatode du lobule de l'oreille dans la race nègre. 	1901	4	298	
50.0	AHMC-04-304	Lemoine		"Natalité et mortalité des îles et des archipels constituant les établissements français de l'Océanie pendant les années 1897, 1898 et 1899. Extrait du Rapport
"	1901	4	304	
51.0	AHMC-04-305			Note sur la manière de tirer parti des sérums qui deviennent facilement troubles aux pays chauds	1901	4	305	
52.0	AHMC-04-306	Bireaud		Clinique d'Outre-Mer. Observations recueillies à N'Djolé (Congo français).	1901	4	306	
53.0	AHMC-04-310	Lhomme	"
"	Clinique d'Outre-Mer. Difformité du pied par hypertrophie d'origine congénitale du gros orteil et par production de tumeurs lipomateuses.	1901	4	310	
54.0	AHMC-04-314	Bailly		Hyperostose des 2e et 3e métatarsiens gauches et orteils correspondants. Observations recueillies	1901	4	314	
56.0	AHMC-04-323			Manière de conserver les moustiques à l'état vivant pour les expédier en Europe	1901	4	323	
57.0	AHMC-04-325	A. Kermorgant	Considérations générales - fièvre jaune - Traitement. Mortalité- rapport au temps de séjour dans la colonie-Morbidité et mortalité par fièvre jaune-Morbidité suivant les races- Morbidité et mortalité suivant les âges- Prophylaxie-Enseignements à tirer de l'épidémie du Sénégal de 1900 et des autres épidémies- Influence du chemin de fer sur la propagation de l'épidémie	Épidémie de fièvre jaune du Sénégal(1), du 16 avril 1900 au 28 février 1901.	1901	4	325	
79.0	AHMC-04-436	J  Auber		Résultats obtenus à La Réunion par l'emploi du sérum antipesteux de Yersin.	1901	4	436	
80.0	AHMC-04-440	Bouffard ; Chabaneix		Quelques cas de fièvre paludéenne observée à Djibouti, chef-lieu de la côte des Somalis.	1901	4	440	
81.0	AHMC-04-452	Bouffard ; Chabaneix		Pieds de Madura observés à Djibouti.	1901	4	452	
82.0	AHMC-04-456	Clarac		Corps étrangers du rectum chez les condamnés à La Guyane.	1901	4	456	
83.0	AHMC-04-459	Calmette		Recherches sur la vaccine expérimentale.	1901	4	459	
87.0	AHMC-04-473	Huot. A	A. Territoire de l'Oubangui. Bterritoire des N'Sakaras. C Territoire Zandé ou Nyam-Nyam 	Géographie médicale. Considérations générales sur l'Oubangui et le Bahr-el-Ghazal.	1901	4	473	
91.0	AHMC-04-502	Thiroux		Fonctionnement de l'Institut Pasteur de Tananarive en 1900.	1901	4	502	
92.0	AHMC-04-513	Primet	Exposé de l'état actuel de la question de la lèpre en Nouvelle-Calédonie -  Hygiène générale et prophylaxie	La prophylaxie de la lèpre en Nouvelle-Calédonie.	1901	4	513	
95.0	AHMC-04-541	Jourdran		La lèpre et les léproseries à Madagascar.	1901	4	541	
96.0	AHMC-04-549	Le Ray	Observation I  Observation II  Observation III  Observation IV  Observation V 	Contribution à l'étude de la fièvre bilieuse hémoglobinurique, observée aux pays chauds.	1901	4	549	
102.0	AHMC-04-588	Mul		Note sur un monstre ectromélien observé à Saint-Louis (Sénégal).	1901	4	588	
103.0	AHMC-04-590	Spire	Procédé employé aux Indes néerlandaises pour emballer les tubes à vaccin destinés aux célébés et à la Nouvelle-Guinée 	Variétés. Fonctionnement du service de santé dans l'armée des Indes néerlandaises.	1901	4	590	
105.0	AHMC-04-601			Mesures prophylactiques prises contre la fièvre jaune à Cuba sur l'ordre du major général Word	1901	4	601	
106.0	AHMC-04-603			Règlement au sujet de la lèpre dans la Nouvelle-Galles du sud	1901	4	603	
107.0	AHMC-04-608	Dom Sauton		La Léprose.	1901	4	608	
0.0	AHMC-05-5	Clarac	I Géographie et ethnographie  II Notes succinctes de pathologie	La Guyane française. Notes de géographie médicale, d'ethnographie et de pathologie.	1902	5	5	
2.0	AHMC-05-108	Raoul Dumas		Au sujet de quelques modifications de l'excrétion urinaire provoquées par l'accès paludéen.	1902	5	108	
3.0	AHMC-05-116	Roques		Variole et vaccine dans la région de Loango (Congo français), de novembre 1893 à septembre 1899.	1902	5	116	
4.0	AHMC-05-122	Bloch		Analyse de l'eau du puits de Lawpett.	1902	5	122	
5.0	AHMC-05-126	Talbot		Notes sur une épidémie de rougeole observée sur des Malinkais et des Soussous à Ouossou (Guinée française).	1902	5	126	
6.0	AHMC-05-137	Augier		Pratique de la police sanitaire maritime à l'arrivée.	1902	5	137	
7.0	AHMC-05-150			Variétés. Fonctionnement du service de santé dans l'état indépendant du Congo	1902	5	150	
8.0	AHMC-05-151			Les piaïeurs à la Guyane française	1902	5	151	
13.0	AHMC-05-165	J. Decorse		Contribution à la géographie médicale. Notes sur l'Androy (sud de Madagascar).	1902	5	165	
14.0	AHMC-05-179	Sautarel		Quelques notes médicales sur Ssé-Mao (Chine).	1902	5	179	
15.0	AHMC-05-184			Instructions pour l'application de la méthode des tractions rythmées de la langue : 1° au traitement de la mort apparente ; 2° au signe automatique de la mort réelle. Le tracteur lingual mécanique	1902	5	184	
16.0	AHMC-05-194	Rouffiandis		Le Ki-mo ou pian du Laos.	1902	5	194	
17.0	AHMC-05-200	Brengues		Contribution à l'étude du paludisme en Indo-chine. Le paludisme à Hatien.	1902	5	200	
18.0	AHMC-05-214	Gustave Reynaud		Stérilisation de l'eau par la solution bromée (procédé de Schumburg).	1902	5	214	
19.0	AHMC-05-221	Boyé		Un cas d'hyperthermie post-mortem avec refroidissement cadavérique très lent dans un accès pernicieux.	1902	5	221	
20.0	AHMC-05-223	Louis Le Clech ;Jean Vuillet.	Albarcantégna.Bimbé. Bouha. ChoucoulaDiabiDiala. Diefa diabaDouganto. Dougoura. FaraouoroFéfé. Fonfon foqueloForoutoGouimohKani. Karkatabiné. KinkelibahKobi. KounaKouna lé. KoundiéLemourouManguié. Mingo. Missi-tsara. Moro-iriNété ou néréDougoukoro Niamakou. NoufonN'TéOuloudiolokoSegainéSiraSoubarabana. TabananiTali. Tétou. TomboroTumbin. Ten telemane	Plantes médicinales et toxiques du Soudan français.	1902	5	223	
44.0	AHMC-05-257	(H.-C.-A) Vergoz		De quelques affections qu'on observe fréquemment chez les indigènes de la Côte d'Ivoire.	1902	5	257	
45.0	AHMC-05-262	L Touin		Note sur un cas de paludisme chez une hystéro-neurasthénique.	1902	5	262	
46.0	AHMC-05-268	Blin		Cas de ptomaphagie observé chez un hindou atteint de folie religieuse.	1902	5	268	
47.0	AHMC-05-277	A. Kermorgant	Maladies épidémiques et contagieuses -  Résumé de la morbidité et de la mortalité dans les établissements hospitaliers en 1900	Maladies épidémiques et contagieuses qui ont régné dans les colonies françaises au cours de l'année 1900.	1902	5	277	
49.0	AHMC-05-305	Morel		Existence de la mouche tsé-tsé dans la région du Chari.	1902	5	305	
50.0	AHMC-05-306	Sautarel		Un cas de lèpre tuberculeuse.	1902	5	306	
51.0	AHMC-05-312	Semple ;G Lamb	Traitement des fièvres paludéennes	Le pouvoir neutralisant du sérum antivenimeux de Calmette et sa valeur dans le traitement des morsures de serpents.	1902	5	312	
55.0	AHMC-05-353	Spire		Rapport médical de la mission Fourneau.	1902	5	353	
56.0	AHMC-05-380	Mas		Rapport sur l'état sanitaire de Canton, du 30 octobre 1900 au 1er octobre 1901.	1902	5	380	
