	article_id	article_auteur	article_section	article_titre	article_page	revue_annee	revue_numero	chapitre	article_SPE_seance
56	BSPE-1908-117	LEVADITI (C.), ROSENBAUM	Communication	Action des substances hémolytiques sur les Spirochètes, les Protozoaires et les Vibrions. 	117	1908	1	Séance du 12 février 1908. Communications. La peste en Algérie en 1907. Recherches particulières sur les rats, leurs ectoparasites et leurs rapports avec l'épidémie, dans le département de Constantine, par A. Billet... / Action des substances hémolytiques sur les spirochètes, les protozoaires et les vibrions, par MM. Levaditi et Rosenbaum	12 février 1908
58	BSPE-1908-121	NICOLLE (CHARLES)	Communication	Culture des corps de Leishman isolés de la rate dans trois cas d’anémie splénique infantile. 	121	1908	1	Séance du 12 février 1908. Communications. Action des substances hémolytiques sur les spirochètes, les protozoaires et les vibrions, par MM. Levaditi et Rosenbaum. (Travail du lab. de M. Metchnikoff à l'Institut Pasteur.). / Culture des corps de Leishman isolés de la rate dans trois cas d'anémie splénique infantile, par Charles Nicolle.	12 février 1908
60	BSPE-1908-126	MARTIN (Gustave), LEBŒUF (A.)	Communication	Diagnostic microscopique de la trypanosomiase humaine. Valeur comparée des divers procédés. 	126	1908	1	Séance du 12 février 1908. Communications. Culture des corps de Leishman isolés de la rate dans trois cas d'anémie splénique infantile, par Charles Nicolle... / Diagnostic microscopique de la trypanosomiase humaine. Valeur comparée des divers procédés, par les Drs Gustave Martin et Leboeuf	12 février 1908
62	BSPE-1908-136	RODET (A.), VALLET (G.)	Communication	Sur le pouvoir bactéricide du sang dans le Nagana expérimental.	136	1908	1	Séance du 11 mars 1908. Communications. Sur le pouvoir bactéricide du sang dans le nagana expérimental, par A. Rodet et G. Vallet	11 mars 1908
64	BSPE-1908-140	LEVADITI (C.), YAMANOUCHI (T.)	Communication	La réaction des lipoïdes dans les trypanosomiases et les spirilloses expérimentales.	140	1908	1	Séance du 11 mars 1908. Communications. La réaction des lipoïdes dans les trypanosomiases et les spirilloses expérimentales, par C. Levaditi et T. Yamanouchi	11 mars 1908
66	BSPE-1908-144	MARTIN (Gustave), LEBŒUF (A.), ROUBAUD (É.)	Communication	Épidémies de maladie du sommeil au Congo français. La contagion par familles et par cases. 	144	1908	1	Séance du 11 mars 1908. Communications. La réaction des lipoïdes dans les trypanosomiases et les spirilloses expérimentales, par C. Levaditi et T. Yamanouchi. / Epidémies de maladie du sommeil au Congo Français. La contagion par familles et par cases, par Gustave Martin, Leboeuf et Roubaud	11 mars 1908
68	BSPE-1908-148	LAVERAN (Alphonse)	Communication	Sur une hémogrégarine, un trypanosome et un spirille trouvés dans le sang d’un requin.	148	1908	1	Séance du 11 mars 1908. Communications. Epidémies de maladie du sommeil au Congo Français. La contagion par familles et par cases, par Gustave Martin, Leboeuf et Roubaud. (Mission d'études de la maladie du sommeil.). / Sur une hémogrégarine, un trypanosome et un spirille, trouvés dans le sang d'un requin, par A. Laveran	11 mars 1908
70	BSPE-1908-151	BORREL (A.)	Communication	Spirilles, Spirochètes, Trypanosomes.	151	1908	1	Séance du 11 mars 1908. Communications. Spirilles, spirochètes, trypanosomes, par A. Borrel	11 mars 1908
72	BSPE-1908-156	YERSIN (A.), VASSAL (J.J.)	Communication	Une maladie rappelant le typhus exanthématique observée en Indo-Chine.	156	1908	1	Séance du 11 mars 1908. Communications. Une maladie rappelant le typhus exanthématique observée en Indo-Chine, par A. Yersin et J. J. Vassal	11 mars 1908
74	BSPE-1908-165	NICOLLE (CHARLES)	Communication	La peste en Tunisie pendant l’année 1907.	165	1908	1	Séance du 11 mars 1908. Communications. La peste en Tunisie pendant l'année 1907, par Charles Nicolle	11 mars 1908
76	BSPE-1908-167	CONSEIL (E.)	Communication	Cinq cas de peste observés à Tunis.	167	1908	1	Séance du 11 mars 1908. Communications. La peste en Tunisie pendant l'année 1907, par Charles Nicolle. / Cinq cas de peste observés à Tunis, par E. Conseil	11 mars 1908
78	BSPE-1908-170	BERTRAND (Louis-Edmond)	Communication	Révulsion réciproque de l’intestin et du foie dans l’hépatite dysentérique  balancement symptomatique et nosocomial. 	170	1908	1	Séance du 11 mars 1908. Communications. Révulsion réciproque de l'intestin et du foie, dans l'hépatite dysentérique balancement symptomatique et nosocomial, par L. E. Bertrand.	11 mars 1908
80	BSPE-1908-172	FOLEY (H.), YVERNAULT (A.)	Communication	Anophélines dans l’eau salée.	172	1908	1	Séance du 11 mars 1908. Communications. Révulsion réciproque de l'intestin et du foie, dans l'hépatite dysentérique balancement symptomatique et nosocomial, par L. E. Bertrand... / Anophélines dans l'eau salée, par F. H. Foley et A. Yvernault.	11 mars 1908
82	BSPE-1908-173	FOLEY (H.), YVERNAULT (A.)	Communication	Un cas de lèpre d’origine soudanaise dans le Sud-Oranais.	173	1908	1	Séance du 11 mars 1908. Communications. Anophélines dans l'eau salée, par F. H. Foley et A. Yvernault... / Un cas de lèpre d'origine soudanaise dans le Sud-Oranais, par Foley et Yvernault.	11 mars 1908
84	BSPE-1908-174	SERGENT (ED.), FOLEY (H.)	Communication	Fièvre récurrente du Sud-Oranais et Pediculus vestimenti. Note préliminaire.	174	1908	1	Séance du 11 mars 1908. Communications. Un cas de lèpre d'origine soudanaise dans le Sud-Oranais, par Foley et Yvernault... / Fièvre récurrente du Sud-Oranais et Pediculus vestimenti. Note préliminaire, par Edmond Sergent et H. Foley.	11 mars 1908
86	BSPE-1908-177	PLANTIER (A.)	Communication	Erythème ortié, d’origine acarienne, chez un algérien.	177	1908	1	Séance du 11 mars 1908. Communications. Erythème ortié, d'origine acarienne, chez un algérien, par le Dr Plantier.	11 mars 1908
88	BSPE-1908-178	BILLET (A.)	Discussion	Erythème ortié, d’origine acarienne chez un Algérien. (Discussion)	178	1908	1	Séance du 11 mars 1908. Communications. Erythème ortié, d'origine acarienne, chez un algérien, par le Dr Plantier.	11 mars 1908
90	BSPE-1908-179	COUTEAUD	Communication	Un cas de Réviviscence au bout d’un an du virus diphtérique à Madagascar.	179	1908	1	Séance du 11 mars 1908. Communications. Un cas de réviviscence au bout d'un an du virus diphtéritique à Madagascar, par le Dr Couteaud.	11 mars 1908
92	BSPE-1908-180	COUTEAUD	Communication	Une ordonnance chinoise dans un cas de fièvre typhoïde.	180	1908	1	Séance du 11 mars 1908. Communications. Une ordonnance chinoise dans un cas de fièvre typhoïde, par le Dr Couteaud.	11 mars 1908
94	BSPE-1908-181	WEINBERG (M.), ROMANOVITCH (M.)	Communication	Helminthiase de l’intestin grêle du chimpanzé et des singes inférieurs.	181	1908	1	Séance du 11 mars 1908. Communications. Helminthiase de l'intestin grêle du chimpanzé et des singes inférieurs, par M. Weinberg et M. Romanovitch	11 mars 1908
96	BSPE-1908-187	SERGENT (ED.)	Communication	Un cas de réveil d’infection à Hémocytozoaires chez un singe.	187	1908	1	Séance du 11 mars 1908. Communications. Un cas de réveil d'infection à hémocytozoaires chez un singe, par Edmond Sergent	11 mars 1908
98	BSPE-1908-188	NICOLLE (CHARLES)	Communication	Reproduction expérimentale du kala-azar chez le chien. Origine canine probable de cette affection. 	188	1908	1	Séance du 11 mars 1908. Communications. Un cas de réveil d'infection à hémocytozoaires chez un singe, par Edmond Sergent. / Reproduction expérimentale du Kala-Azar chez le chien. Origine canine probable de cette affection, par Charles Nicolle	11 mars 1908
100	BSPE-1908-195	SURCOUF (J.), PICARD (F.)	Communication	Note sur les Diptères du genre Stomoxys en Abyssinie.	195	1908	1	Séance du 8 avril 1908. Communications. Note sur les diptères du genre Stomoxys en Abyssinie, par MM. Jacques Surcouf et F. Picard	8 avril 1908
102	BSPE-1908-198	LAVERAN (Alphonse)	Communication	Influence des passages par cobayes sur la virulence de quelques trypanosomes.	198	1908	1	Séance du 8 avril 1908. Communications. Influence des passages par cobayes sur la virulence de quelques trypanosomes, par A. Laveran	8 avril 1908
104	BSPE-1908-201	BRUMPT (Emile)	Discussion	Globules géants ou « corps en demi-lune » du paludisme  autres altérations globulaires au cours de cette maladie infectieuse. (Discussion). 	201	1908	1	Séance du 8 avril 1908. Communications. Influence des passages par cobayes sur la virulence de quelques trypanosomes, par A. Laveran. / Globules géants ou « corps en demi-lune » du paludisme ; autres altérations globulaires au cours de cette maladie infectieuse, par E. Brumpt.	8 avril 1908
106	BSPE-1908-206	BILLET (A.), LAVERAN (Alphonse)	Discussion	Globules géants ou « corps en demi-lune » du paludisme autres altérations globulaires au cours de cette maladie infectieuse. (Discussion). 	206	1908	1	Séance du 8 avril 1908. Communications. Globules géants ou « corps en demi-lune » du paludisme ; autres altérations globulaires au cours de cette maladie infectieuse, par E. Brumpt.	8 avril 1908
108	BSPE-1908-207	ESCOMEL (E.)	Communication	Le traitement du papillome cutané, par l’inoculation du sang d’un Méloe.	207	1908	1	Séance du 8 avril 1908. Communications. Le traitement du papillome cutané, par l'inoculation du sang d'un Meloe, par le Dr Edmundo Escomel.	8 avril 1908
110	BSPE-1908-210	MESNIL (F.), BRIMONT (E.)	Communication	Essais de prévention contre les infections à Trypanosoma gambiense.	210	1908	1	Séance du 8 avril 1908. Communications. Le traitement du papillome cutané, par l'inoculation du sang d'un Meloe, par le Dr Edmundo Escomel... / Essais de prévention contre les infections à Trypanosoma gambiense, par F. Mesnil et E. Brimont	8 avril 1908
112	BSPE-1908-212	MESNIL (F.), BRIMONT (E.)	Communication	Sur la valeur curative de l’émétique dans les diverses trypanosomiases.	212	1908	1	Séance du 8 avril 1908. Communications. Essais de prévention contre les infections à Trypanosoma gambiense, par F. Mesnil et E. Brimont. / Sur la valeur curative de l'émétique dans les diverses trypanosomiases, par F. Mesnil et E. Brimont	8 avril 1908
114	BSPE-1908-216	LAVERAN (Alphonse)	Discussion	Sur la valeur curative de l’émétique dans les diverses trypanosomiases. (Discussion) 	216	1908	1	Séance du 8 avril 1908. Communications. Sur la valeur curative de l'émétique dans les diverses trypanosomiases, par F. Mesnil et E. Brimont. / Sur la fréquence du Fasciolopsis Buski (Lank., 1857) en Cochinchine, par Théodore Barrois et F. Noc	8 avril 1908
118	BSPE-1908-220	BILLET (A.), GRALL (CH.)	Discussion	Sur la fréquence du Fasciolopsis buski (Lank. 1857) en Cochinchine. (Discussion)	220	1908	1	Séance du 8 avril 1908. Communications. Sur la fréquence du Fasciolopsis Buski (Lank., 1857) en Cochinchine, par Théodore Barrois et F. Noc. (Travail du laboratoire de parasitologie de la Faculté de médecine de Lille.)	8 avril 1908
120	BSPE-1908-221	MARTIN (Gustave), LEBŒUF (A.)	Communication	De l’hypertrophie ganglionnaire dans la maladie du sommeil.	221	1908	1	Séance du 8 avril 1908. Communications. Sur la fréquence du Fasciolopsis Buski (Lank., 1857) en Cochinchine, par Théodore Barrois et F. Noc. / De l'hypertrophie ganglionnaire dans la maladie du sommeil, par les Drs Gustave Martin et Leboeuf	8 avril 1908
122	BSPE-1908-224	MARCHOUX (Emile)	Communication	Accès paludéens à formes pneumonique et dysentérique.	224	1908	1	Séance du 8 avril 1908. Communications. De l'hypertrophie ganglionnaire dans la maladie du sommeil, par les Drs Gustave Martin et Leboeuf. (Mission d'études de la maladie du sommeil.). / Accès paludéens à formes pneumonique et dysentérique, par E. Marchoux	8 avril 1908
124	BSPE-1908-226	BILLET (A.)	Discussion	Accès paludéens à formes pneumonique et dysentérique. (Discussion)	226	1908	1	Séance du 8 avril 1908. Communications. Accès paludéens à formes pneumonique et dysentérique, par E. Marchoux	8 avril 1908
126	BSPE-1908-227	LEGENDRE (J.)	Communication	Étude comparée des Culicides de Tchentou (Chine).	227	1908	1	Séance du 8 avril 1908. Communications. Etude comparée des culicides de Tchentou (Chine), par Jean Legendre.	8 avril 1908
128	BSPE-1908-229	WEINBERG (M.), LÉGER (Marcel)	Communication	Recherches cliniques et expérimentales sur l’ankylostomiase. Ankylostomés et ankylostomiasiques. 	229	1908	1	Séance du 8 avril 1908. Communications. Etude comparée des culicides de Tchentou (Chine), par Jean Legendre... / Recherches cliniques et expérimentales sur l'ankylostomiase. Ankylostomés et ankylostomiasiques, par M. Weinberg et M. Leger	8 avril 1908
130	BSPE-1908-234	BOUET (G.)	Communication	Piroplasmose bovine observée à la Côte d’Ivoire.	234	1908	1	Séance du 8 avril 1908. Communications. Piroplasmose bovine observée à la Côte d'Ivoire, par le Dr G. Bouet.	8 avril 1908
132	BSPE-1908-236	LÉGER (Marcel)	Communication	Hépatite suppurée modifications du rythme urinaire.	236	1908	1	Séance du 8 avril 1908. Communications. Piroplasmose bovine observée à la Côte d'Ivoire, par le Dr G. Bouet... / Hépatite suppurée : modifications du rythme urinaire, par Marcel Leger.	8 avril 1908
134	BSPE-1908-240	CAZALBOU (L.)	Communication	Diarrhée cholériforme des Équidés soudanais.	240	1908	1	Séance du 8 avril 1908. Communications. Diarrhée cholériforme des Equidés soudanais, par L. Cazalbou.	8 avril 1908
136	BSPE-1908-249	GROS (H.)	Communication	Sur un acarien parasite des teignes des céréales et cause accidentelle d’éruptions cutanées chez l’homme.	249	1908	1	Séance du 13 mai 1908. Communications. Sur un acarien parasite des teignes des céréales et cause accidentelle d'éruptions cutanées chez l'homme, par H. Gros	13 mai 1908
138	BSPE-1908-251	SERGENT(ED.),SERGENT(ÉT.)	Communication	À propos des « corps en demi-lune » et des « corps en pessaire ».	251	1908	1	Séance du 13 mai 1908. Communications. Sur un acarien parasite des teignes des céréales et cause accidentelle d'éruptions cutanées chez l'homme, par H. Gros. / A propos des « corps en demi-lune » et des « corps en pessaire », par Edmond Sergent et Etienne Sergent	13 mai 1908
140	BSPE-1908-252	LAVERAN (Alphonse)	Communication	Contribution à l’étude des mouches piquantes de l’Afrique intertropicale.	252	1908	1	Séance du 13 mai 1908. Communications. A propos des « corps en demi-lune » et des « corps en pessaire », par Edmond Sergent et Etienne Sergent. / Contribution à l'étude des mouches piquantes de l'Afrique intertropicale, par A. Laveran	13 mai 1908
142	BSPE-1908-255	ROUBAUD (É.)	Communication	Contribution à la biologie de Glossina palpalis. 	255	1908	1	Séance du 13 mai 1908. Communications. Contribution à l'étude des mouches piquantes de l'Afrique intertropicale, par A. Laveran. / Contribution à la biologie de Glossina palpalis, par M. E. Roubaud	13 mai 1908
144	BSPE-1908-258	MARTIN (Gustave), LEBŒUF (A.), ROUBAUD (É.)	Communication	Prophylaxie de la maladie du sommeil au Congo français.	258	1908	1	Séance du 13 mai 1908. Communications. Contribution à la biologie de Glossina palpalis, par M. E. Roubaud. (Mission d'études de la maladie du sommeil.). / Prophylaxie de la maladie du sommeil au Congo Français, par Gustave Martin, Leboeuf et Roubaud	13 mai 1908
146	BSPE-1908-261	NATTAN-LARRIER (L.)	Discussion	Prophylaxie de la maladie du sommeil au Congo français. (Discussion) 	261	1908	1	Séance du 13 mai 1908. Communications. Prophylaxie de la maladie du sommeil au Congo Français, par Gustave Martin, Leboeuf et Roubaud. / Note sur la prophylaxie de la maladie du sommeil au Congo (Haute-Sangha et Logone), par Kérandel.	13 mai 1908
150	BSPE-1908-269	THIROUX (A.), WURTZ (R.), TEPPAZ (A.)	Communication	Sur la maladie du sommeil et les trypanosomiases animales à la Petite Côte et dans la région des Niayes au Sénégal.	269	1908	1	Séance du 13 mai 1908. Communications. Sur la maladie du sommeil et les trypanosomiases animales à la Petite Côte et dans la région des Niayes au Sénégal, par A. Thiroux, R. Wurtz et A. Teppaz	13 mai 1908
152	BSPE-1908-273	BOUFFARD (Gustave)	Communication	La maladie du sommeil et sa prophylaxie dans la boucle du Niger.	273	1908	1	Séance du 13 mai 1908. Communications. Sur la maladie du sommeil et les trypanosomiases animales à la Petite Côte et dans la région des Niayes au Sénégal, par A. Thiroux, R. Wurtz et A. Teppaz. / La maladie du sommeil et sa prophylaxie dans la boucle du Niger, par G. Bouffard.	13 mai 1908
154	BSPE-1908-277	NATTAN-LARRIER (L.), MONTHUS (A.)	Communication	Iritis et trypanosomiase chez l’homme.	277	1908	1	Séance du 13 mai 1908. Communications. La maladie du sommeil et sa prophylaxie dans la boucle du Niger, par G. Bouffard... / Iritis et trypanosomiase chez l'homme, par L. Nattan-Larrier et A. Monthus	13 mai 1908
156	BSPE-1908-280	LETULLE (M.)	Communication	Bilharziose urinaire chez un nègre du Congo. Modes de dissémination des lésions parasitaires. 	280	1908	1	Séance du 13 mai 1908. Communications. Iritis et trypanosomiase chez l'homme, par L. Nattan-Larrier et A. Monthus. / Bilharziose urinaire chez un nègre du Congo. Modes de dissémination des lésions parasitaires, par Maurice Letulle	13 mai 1908
158	BSPE-1908-285	CLAIR (F.)	Communication	Traitement palliatif du Dr CASTELLANI dans l’élephantiasis.	285	1908	1	Séance du 13 mai 1908. Communications. Traitement palliatif du Dr Castellani dans l'élephantiasis, par Fr. Clair	13 mai 1908
160	BSPE-1908-288	MARCHOUX (Emile)	Communication	Enquête étiologique dans un foyer de lèpre.	288	1908	1	Séance du 13 mai 1908. Communications. Traitement palliatif du Dr Castellani dans l'élephantiasis, par Fr. Clair. / Enquête étiologique dans un foyer de lèpre, par E. Marchoux et G. Bourret	13 mai 1908
162	BSPE-1908-292	LAVERAN (Alphonse)	Discussion	Enquête étiologique dans un foyer de lèpre. (Discussion)	292	1908	1	Séance du 13 mai 1908. Communications. Enquête étiologique dans un foyer de lèpre, par E. Marchoux et G. Bourret. / Les injections endo-veineuses du bleu de méthylène dans le paludisme, par Miguel Couto.	13 mai 1908
166	BSPE-1908-295	ROQUES(), BOUFFARD (Gustave)	Communication	Un cas de Goundou chez le cynocéphale.	295	1908	1	Séance du 13 mai 1908. Communications. Les injections endo-veineuses du bleu de méthylène dans le paludisme, par Miguel Couto... / Un cas de Goundou chez le cynocéphale, par Roques..., et Bouffard.	13 mai 1908
168	BSPE-1908-297	GAUDUCHEAU (A.)	Communication	Présence de Protozoaires dans un papier.	297	1908	1	Séance du 13 mai 1908. Communications. Présence de protozoaires dans un papier, par A. Gauducheau.	13 mai 1908
170	BSPE-1908-299	NICOLLE (CHARLES), COMTE (C.)	Communication	Origine canine du kala-azar.	299	1908	1	Séance du 13 mai 1908. Communications. Origine canine du Kala-Azar, par C. Nicolle et C. Comte.	13 mai 1908
172	BSPE-1908-301	FRANÇA (C.)	Communication	Sur un hématozoaire nouveau de Lacerta ocellata Daud.	301	1908	1	Séance du 13 mai 1908. Communications. Origine canine du Kala-Azar, par C. Nicolle et C. Comte... / Sur un hématozoaire nouveau de Lacerta ocellata Daud, par C. França	13 mai 1908
174	BSPE-1908-303	GROS (H.)	Communication	Ulcère phagédénique des pays chauds chez les Kabyles.	303	1908	1	Séance du 13 mai 1908. Communications. Sur un hématozoaire nouveau de Lacerta ocellata Daud, par C. França. (Travail de l'Institut royal de bactériologie Camara Pestana.). / Ulcère phagédénique des pays chauds chez les Kabyles, par H. Gros	13 mai 1908
176	BSPE-1908-307	MATIGNON (J.-J.)	Communication	Traitement de la dysenterie par la « méthode chinoise ».	307	1908	1	Séance du 13 mai 1908. Communications. Traitement de la dysenterie par la “méthode chinoise”, par J.-J. Matignon	13 mai 1908
177	BSPE-1908-309	BARTET (A.)	Communication	L’urticaire dans la dracunculose.	309	1908	1	Séance du 13 mai 1908. Communications. L'urticaire dans la dracunculose, par A. Bartet.	13 mai 1908
