article_id,article_auteur,article_titre,article_page,revue_annee,revue_numero
BSPE-1-173,"FOLEY (H.), YVERNAULT (A.)",Un cas de lèpre d’origine soudanaise dans le Sud-Oranais.,173,1908,1
BSPE-1-174,"SERGENT (ED.), FOLEY (H.)",Fièvre récurrente du Sud-Oranais et Pediculus vestimenti. Note préliminaire.,174,1908,1
BSPE-1-177,PLANTIER (A.),"Erythème ortié, d’origine acarienne, chez un algérien.",177,1908,1
BSPE-1-178,BILLET (A.),"Erythème ortié, d’origine acarienne chez un Algérien. (Discussion)",178,1908,1
BSPE-1-179,COUTEAUD,Un cas de Réviviscence au bout d’un an du virus diphtérique à Madagascar.,179,1908,1
BSPE-1-180,COUTEAUD,Une ordonnance chinoise dans un cas de fièvre typhoïde.,180,1908,1
BSPE-1-181,"WEINBERG (M.), ROMANOVITCH (M.)",Helminthiase de l’intestin grêle du chimpanzé et des singes inférieurs.,181,1908,1
BSPE-1-187,SERGENT (ED.),Un cas de réveil d’infection à Hémocytozoaires chez un singe.,187,1908,1
BSPE-1-188,NICOLLE (CHARLES),Reproduction expérimentale du kala-azar chez le chien. Origine canine probable de cette affection. ,188,1908,1
BSPE-1-195,"SURCOUF (J.), PICARD (F.)",Note sur les Diptères du genre Stomoxys en Abyssinie.,195,1908,1
BSPE-1-198,LAVERAN (Alphonse),Influence des passages par cobayes sur la virulence de quelques trypanosomes.,198,1908,1
BSPE-1-201,BRUMPT (Emile),Globules géants ou « corps en demi-lune » du paludisme  autres altérations globulaires au cours de cette maladie infectieuse. (Discussion). ,201,1908,1
BSPE-1-206,"BILLET (A.), LAVERAN (Alphonse)",Globules géants ou « corps en demi-lune » du paludisme autres altérations globulaires au cours de cette maladie infectieuse. (Discussion). ,206,1908,1
BSPE-1-207,ESCOMEL (E.),"Le traitement du papillome cutané, par l’inoculation du sang d’un Méloe.",207,1908,1
BSPE-1-210,"MESNIL (F.), BRIMONT (E.)",Essais de prévention contre les infections à Trypanosoma gambiense.,210,1908,1
BSPE-1-212,"MESNIL (F.), BRIMONT (E.)",Sur la valeur curative de l’émétique dans les diverses trypanosomiases.,212,1908,1
BSPE-1-216,LAVERAN (Alphonse),Sur la valeur curative de l’émétique dans les diverses trypanosomiases. (Discussion) ,216,1908,1
BSPE-1-216,"BARROIS (TH.), NOC (F.)",Sur la fréquence du Fasciolopsis buski (Lank. 1857) en Cochinchine.,216,1908,1
BSPE-1-220,"BILLET (A.), GRALL (CH.)",Sur la fréquence du Fasciolopsis buski (Lank. 1857) en Cochinchine. (Discussion),220,1908,1
BSPE-1-221,"MARTIN (Gustave), LEBŒUF (A.)",De l’hypertrophie ganglionnaire dans la maladie du sommeil.,221,1908,1
BSPE-1-224,MARCHOUX (Emile),Accès paludéens à formes pneumonique et dysentérique.,224,1908,1
BSPE-1-226,BILLET (A.),Accès paludéens à formes pneumonique et dysentérique. (Discussion),226,1908,1
BSPE-1-227,LEGENDRE (J.),Étude comparée des Culicides de Tchentou (Chine).,227,1908,1
BSPE-1-229,"WEINBERG (M.), LÉGER (Marcel)",Recherches cliniques et expérimentales sur l’ankylostomiase. Ankylostomés et ankylostomiasiques. ,229,1908,1
BSPE-1-234,BOUET (G.),Piroplasmose bovine observée à la Côte d’Ivoire.,234,1908,1
BSPE-1-236,LÉGER (Marcel),Hépatite suppurée modifications du rythme urinaire.,236,1908,1
BSPE-1-240,CAZALBOU (L.),Diarrhée cholériforme des Équidés soudanais.,240,1908,1
BSPE-1-249,GROS (H.),Sur un acarien parasite des teignes des céréales et cause accidentelle d’éruptions cutanées chez l’homme.,249,1908,1
BSPE-1-251,"SERGENT(ED.),SERGENT(ÉT.)",À propos des « corps en demi-lune » et des « corps en pessaire ».,251,1908,1
BSPE-1-252,LAVERAN (Alphonse),Contribution à l’étude des mouches piquantes de l’Afrique intertropicale.,252,1908,1
BSPE-1-255,ROUBAUD (É.),Contribution à la biologie de Glossina palpalis. ,255,1908,1
BSPE-1-258,"MARTIN (Gustave), LEBŒUF (A.), ROUBAUD (É.)",Prophylaxie de la maladie du sommeil au Congo français.,258,1908,1
BSPE-1-261,NATTAN-LARRIER (L.),Prophylaxie de la maladie du sommeil au Congo français. (Discussion) ,261,1908,1
BSPE-1-261,KÉRANDEL (J.),Note sur la prophylaxie de la maladie du sommeil au Congo (Haute-Sangha et Logone). ,261,1908,1
BSPE-1-269,"THIROUX (A.), WURTZ (R.), TEPPAZ (A.)",Sur la maladie du sommeil et les trypanosomiases animales à la Petite Côte et dans la région des Niayes au Sénégal.,269,1908,1
BSPE-1-273,BOUFFARD (Gustave),La maladie du sommeil et sa prophylaxie dans la boucle du Niger.,273,1908,1
BSPE-1-277,"NATTAN-LARRIER (L.), MONTHUS (A.)",Iritis et trypanosomiase chez l’homme.,277,1908,1
BSPE-1-280,LETULLE (M.),Bilharziose urinaire chez un nègre du Congo. Modes de dissémination des lésions parasitaires. ,280,1908,1
BSPE-1-285,CLAIR (F.),Traitement palliatif du Dr CASTELLANI dans l’élephantiasis.,285,1908,1
BSPE-1-288,MARCHOUX (Emile),Enquête étiologique dans un foyer de lèpre.,288,1908,1
BSPE-1-292,LAVERAN (Alphonse),Enquête étiologique dans un foyer de lèpre. (Discussion),292,1908,1
BSPE-1-292,COUTO (M.),Les injections endo-veineuses de bleu de méthylène dans le paludisme.,292,1908,1
BSPE-1-295,"ROQUES(), BOUFFARD (Gustave)",Un cas de Goundou chez le cynocéphale.,295,1908,1
BSPE-1-297,GAUDUCHEAU (A.),Présence de Protozoaires dans un papier.,297,1908,1
BSPE-1-299,"NICOLLE (CHARLES), COMTE (C.)",Origine canine du kala-azar.,299,1908,1
BSPE-1-301,FRANÇA (C.),Sur un hématozoaire nouveau de Lacerta ocellata Daud.,301,1908,1
BSPE-1-303,GROS (H.),Ulcère phagédénique des pays chauds chez les Kabyles.,303,1908,1
BSPE-1-307,MATIGNON (J.-J.),Traitement de la dysenterie par la « méthode chinoise ».,307,1908,1
BSPE-1-309,BARTET (A.),L’urticaire dans la dracunculose.,309,1908,1
BSPE-1-319,"LAVERAN (Alphonse), KERMORGANT (Alexandre)",Rapport sur la prophylaxie de la maladie du sommeil.,319,1908,1
BSPE-1-327,"BRUMPT (Emile), MARCHOUX (Emile)",Rapport sur la prophylaxie de la maladie du sommeil. (Discussion),327,1908,1
BSPE-1-330,BARTET (A.),Essais de pathogénie de l’urticaire dans la dracunculose.,330,1908,1
BSPE-1-333,BOUFFARD (Gustave),Du rôle comparé des glossines et des stomoxes dans l’étiologie de la Souma.,333,1908,1
BSPE-1-337,GROS (H.),L’ophtalmo-réaction à la tuberculine chez les indigènes de l’Algérie.,337,1908,1
BSPE-1-339,LEBŒUF (A.),Ulcère phagédénique au Congo français.,339,1908,1
BSPE-1-342,LE DANTEC (A.),Présence d’une levure dans le Sprue. Sa signification pathogénique.,342,1908,1
BSPE-1-344,BERTRAND (Louis-Edmond),Présence d’une levure dans le Sprue. Sa signification pathogénique. (Discussion),344,1908,1
BSPE-1-345,LE DANTEC (A.),Nouveau traitement des diarrhées chroniques des pays chauds.,345,1908,1
BSPE-1-347,MARCHOUX (Emile),L’iodure de potassium dans la lèpre.,347,1908,1
BSPE-1-351,"MARTIN (Gustave), LEBŒUF (A.), ROUBAUD (É.)",Les trypanosomiases animales du Congo français.,351,1908,1
BSPE-1-355,"MARTIN (Gustave), LEBŒUF (A.), ROUBAUD (É.)",Expériences de transmission du « Nagana » par les Stomoxes et par les Moustiques du genre Mansonia.,355,1908,1
BSPE-1-358,MATIGNON (J.J.),Les émanations des selles dysentériques renferment-elles des principes toxiques?,358,1908,1
BSPE-1-359,BERTRAND (Louis-Edmond),Les émanations des selles dysentériques renferment-elles des principes toxiques? (Discussion) ,359,1908,1
BSPE-1-360,"NATTAN-LARRIER (L.), ALLAIN (Jacques)",L’équilibre leucocytaire chez les noirs atteints de trypanosomiase.,360,1908,1
BSPE-1-366,"MARTIN (Gustave), BRUMPT (Emile)",L’équilibre leucocytaire chez les noirs atteints de trypanosomiase. (Discussion),366,1908,1
BSPE-1-367,NICLOT (F.),La peste à Oran en 1907. Ectoparasites des rats pesteux et multiplication du bacille de Yersin dans leur tube digestif.,367,1908,1
BSPE-1-369,NOC (F.),Filaires d’Indo-Chine.,369,1908,1
BSPE-1-374,SOREL (F.),Cas de myiase intestinale simulant une maladie typhoïde.,374,1908,1
BSPE-1-385,NICOLLE (CHARLES),La lutte antipaludique en Tunisie.,385,1908,1
BSPE-1-388,"LAVERAN (Alphonse), BRUMPT (Emile), SCHNEIDER (J. E. J.)",La lutte antipaludique en Tunisie. (Discussion),388,1908,1
BSPE-1-390,CAZALBOU (L.),Souma et Baléri.,390,1908,1
BSPE-1-392,BOUFFARD (Gustave),Souma et Baléri. (Discussion),392,1908,1
BSPE-1-393,LAVERAN (Alphonse),Sur quelques altérations de la rate chez les cobayes infectés de trypanosomes.,393,1908,1
BSPE-1-397,BRUMPT (Emile),Sur quelques altérations de la rate chez les cobayes infectés de trypanosomes. (Discussion) ,397,1908,1
BSPE-1-398,"MORAX (V.), KÉRANDEL (J.)",Un cas de cyclite dans la trypanosomiase humaine.,398,1908,1
BSPE-1-402,"MARTIN (Gustave), LEBŒUF (A.)",Période d’incubation dans la maladie du sommeil. Inflammations locales à la suite de piqûres de Glossines infectées.,402,1908,1
BSPE-1-406,BELLET (E.),Du traitement de la fièvre bilieuse hémoglobinurique des paludéens.,406,1908,1
BSPE-1-410,FRANÇA (C.),Sur une piroplasmose nouvelle chez une mangouste.,410,1908,1
BSPE-1-412,BOUFFARD (Gustave),"La défense de Bamako (Haut-Sénégal et Niger) contre la fièvre jaune, en 1906.",412,1908,1
BSPE-1-415,"LEVADITI (C.), YAMANOUCHI (T.)",Transmission des spirilloses humaines aux poussins et aux embryons de poulet.,415,1908,1
BSPE-1-416,MARCHOUX (Emile),Essai d’inoculation de la lèpre au chimpanzé.,416,1908,1
BSPE-1-420,BORREL (A.),Nécro tuberculose et sensibilisation (anaphylaxie) par bacilles tuberculeux morts.,420,1908,1
BSPE-1-421,COUTEAUD,L’inégalité pupillaire signe possible de l’abcès du foie.,421,1908,1
BSPE-1-424,"MORAX (V.), BERTRAND (Louis-Edmond)",L’inégalité pupillaire signe possible de l’abcès du foie. (Discussion),424,1908,1
BSPE-1-425,"NOC (F.), BROCHARD (V.)",Sur la présence du pigment ocre dans les organes des sujets morts de béribéri.,425,1908,1
BSPE-1-428,"WEINBERG (M.), LÉGER (Marcel), LAVERAN (Alphonse), NATTAN-LARRIER (L.)",Sur la présence du pigment ocre dans les organes des sujets morts de béribéri. (Discussion) ,428,1908,1
BSPE-1-430,"BOUFFARD (Gustave), NEVEUX",Bilharziose dans le Haut-Sénégal et le HautNiger.,430,1908,1
BSPE-1-432,BRUMPT (Emile),"Existence de la « Fièvre des Tiques » en Abyssinie. Quelques mots sur la biologie de l’Ornitho-dorus moubata, acarien qui détermine cette spirochétose.",432,1908,1
BSPE-1-437,SCHNEIDER (J.E.J.),"Existence de la « Fièvre des Tiques » en Abyssinie. Quelques mots sur la biologie de l’Ornitho-dorus moubata, acarien qui détermine cette spirochétose. (Discussion).",437,1908,1
BSPE-1-437,NICLOT (F.),Anophèlisme et paludisme dans la division d’Oran au cours de 1907.,437,1908,1
BSPE-1-450,LEBŒUF (A.),Présentation d’échantillons d’une larve et de deux pupes de Glossina palpalis.,450,1908,1
BSPE-1-451,THEILER (A.),The influence of cold on ticks and Piroplasma parvum.,451,1908,1
BSPE-1-454,BOUFFARD (Gustave),Le Stegomyia fasciata au Soudan français. ,454,1908,1
BSPE-1-458,LEGENDRE (J.),Le Stegomyia fasciata au Soudan français. (Discussion),458,1908,1
BSPE-1-459,"WEINBERG (M.), MOORE (A.)",Quelques données sur I’éosinophilie dans les helminthiases.,459,1908,1
BSPE-1-463,"WEINBERG (M.), MELLO (U.)",Recherches expérimentales sur l’origine de l’éosinophilie dans les helminthiases.,463,1908,1
BSPE-1-472,"SERGENT (ED.), FOLEY (H.)",Existence de Filaria perstans chez un indigène de l’Afrique du Nord.,472,1908,1
BSPE-1-473,DUFOUGERÉ (W.),"L’élephantiasis, ses rapports avec la lymphangite endémique des pays chauds.",473,1908,1
BSPE-1-476,DE BRUN (H.),Fièvre de Malte. Inefficacité de la Quinine à dose ordinaire. Guérison rapide par la Quinine à dose massive.,476,1908,1
BSPE-1-478,DEADERICK (W. H.),Malaria as a cause of purpura hemorrhagica. ,478,1908,1
BSPE-1-480,DOREAU (P.),Fièvre spirillaire eu Abyssinie.,480,1908,1
BSPE-1-484,NICOLAS (CH.),À propos du pian.,484,1908,1
BSPE-1-487,"LEVADITI (C.), NATTAN-LARRIER (L.)",À propos de la note de M. Ch. NICOLAS sur le pian.,487,1908,1
BSPE-1-489,"LÉGER (M.(), A.)",Contribution à l’hématologie de la lèpre.,489,1908,1
BSPE-1-493,NICOLAS (CH.),Deux remarques à propos de la lèpre.,493,1908,1
BSPE-1-495,MARCHOUX (Emile),Deux remarques à propos de la lèpre. (Discussion),495,1908,1
BSPE-1-496,"BRODEN (A.), RODHAIN (J.)",Le liquide cérébro-spinal dans la trypanosomiase humaine.,496,1908,1
BSPE-1-499,NATTAN-LARRIER (L.),Le liquide cérébro-spinal dans la trypanosomiase humaine. (Discussion),499,1908,1
BSPE-1-500,"BRODEN (A.), RODHAIN (J.)",Traitement de la trypanosomiase humaine par l’atoxyl et l’orpiment (système Laveran).,500,1908,1
BSPE-1-503,LAVERAN (Alphonse),Traitement de la trypanosomiase humaine par l’atoxyl et l’orpiment (système Laveran). (Discussion) ,503,1908,1
BSPE-1-504,"BRODEN (A.), RODHAIN (J.)",Traitement de la trypanosomiase humaine par la solution arsenicale de Loeffler.,504,1908,1
BSPE-1-508,"MARTIN (Gustave), LEBŒUF (A.)",Sur le traitement de la trypanosomiase humaine.,508,1908,1
BSPE-1-510,MESNIL (F.),Sur le traitement de la trypanosomiase humaine. (Discussion),510,1908,1
BSPE-1-510,"MARTIN (Gustave), LEBŒUF (A.)",Nouveaux documents sur le diagnostic microscopique de la maladie du sommeil.,510,1908,1
BSPE-1-515,KÉRANDEL (J.),"Trypanosomiase des Mammifères au Congo français (Haute-Sangha, Logone, Ouhame). ",515,1908,1
BSPE-1-519,MESNIL (F.),"Trypanosomiases des Mammifères au Congo français (Haute-Sangha, Logone, Ouhame). (Discussion)",519,1908,1
BSPE-1-519,BOUET (G.),Note sur les trypanosomiases du Dahomey.,519,1908,1
BSPE-1-527,CHANTEMESSE (A.), – Présentations 528 La fièvre jaune à Saint-Nazaire.,527,1908,1
BSPE-1-530,DUFOUGERÉ (W.),La fièvre jaune à Saint-Nazaire. (Discussion),530,1908,1
BSPE-1-531,"CARDEW (A.G.), CAMAIL",Règlement concernant la vente de la quinine du Gouvernement dans les bureaux de poste de l’Inde anglaise.,531,1908,1
BSPE-1-534,SERGENT (ED.),La quininisation en Algérie.,534,1908,1
BSPE-1-536,"LETULLE (M.), NATTAN-LARRIER (L.)",Sclérose paludéenne du sommet du poumon.,536,1908,1
BSPE-1-539,VASSAL (J.J.),L’Atoxyl dans le traitement de la fièvre paludéenne.,539,1908,1
BSPE-1-544,DE BRUN (H.),Fièvre de Malte simulant un abcès du foie. Guérison rapide par la quinine à haute dose. ,544,1908,1
BSPE-1-547,BROQUET (CH.),Procédé de conservation des ganglions pesteux pour le diagnostic.,547,1908,1
BSPE-1-548,SPENCER (D. B.),Les fièvres typhoïdes et paratyphoïdes dans l’Inde.,548,1908,1
BSPE-1-551,"BORREL (A.), VINCENT (H.), LAVERAN (Alphonse), CHANTEMESSE (A.), GRANJUX (E.)",Les fièvres typhoïdes et paratyphoïdes dans l’Inde. (Discussion),551,1908,1
BSPE-1-556,WEINBERG (M.),Un cas d’appendicite chez le gorille.,556,1908,1
BSPE-1-560,BELLET (E.),De l’extirpation du ver de Guinée après cocaïnisation.,560,1908,1
BSPE-1-563,BROQUET (CH.),Présence de Microfilaria nocturna en Cochinchine.,563,1908,1
BSPE-1-564,MESNIL (F.),Présence de Microfilaria nocturna en Cochinchine. (Discussion),564,1908,1
BSPE-1-564,ROUBAUD (É.),Infection naturelle de la trompe des Glossines.,564,1908,1
BSPE-1-568,BRUMPT (Emile),Infection naturelle de la trompe des Glossines. (Discussion),568,1908,1
BSPE-1-569,"MARTIN (Louis), DARRÉ (H.)","Trypanosomiase chez les blancs. Traitement par l’atoxyl, résultats éloignés. Forme cérébrale de la maladie. Malades insensibles à l’atoxyl. Association de l’atoxyl et de l’émétique.",569,1908,1
BSPE-1-575,SCHEIN (H.),Rôle probable des Ruminants comme réservoir de virus de Surra de l’Indo-Chine.,575,1908,1
BSPE-1-577,BRUMPT (Emile),"Transmission du Spirochaeta Duttoni par l’Ornithodorus Savignyi. Transmission du Spirochæta Duttoni et du Spirochæta Gallinarum par l’Ornithodorus Moubata, non transmission des Spirochètes de la fièvre récurrente américaine et algérienne par ce même parasite.",577,1908,1
BSPE-1-579,BRUMPT (Emile),Passage du Spirochæta Duttoni dans le sang menstruel.,579,1908,1
BSPE-1-582,NICOLAS (CH.),Pratiques chirurgicales des Canaques des îles Loyalty.,582,1908,1
BSPE-1-588,"BRUMPT (Emile), LAVERAN (Alphonse), SIMONIN",Pratique chirurgicale des Canaques des îles Loyalty. (Discussion),588,1908,1
BSPE-1-595,FRANÇA (C.),Sur un hématozoaire nouveau de Psammodromus algirus.,595,1908,1
BSPE-1-597,GEDOELST (L.),Note sur les larves parasites du genre Cordylobia.,597,1908,1
BSPE-1-600,"GOBERT (E).(), CATOUILLARD (G.)",Enquête sur et les affections helminthiques dans le sud de la Tunisie et plus particulièrement dans le Djerid.,600,1908,1
BSPE-1-602,NICOLLE (CHARLES),Quelques faits nouveaux relatifs au kala-azar infantile.,602,1908,1
BSPE-1-605,"TRILLAT(), LEGENDRE (J.)",Étude sur la toxicité des vapeurs de quelques substances chimiques sur les moustiques.,605,1908,1
BSPE-1-610,"TRILLAT(), LEGENDRE (J.)",Sur la destruction des mouches par le formol.,610,1908,1
BSPE-1-612,MARCHOUX (Emile),Sur la destruction des mouches par le formol. (Discussion),612,1908,1
BSPE-1-613,SALMON (P.),L’antimoine dans les spirilloses pathogènes.,613,1908,1
BSPE-1-616,MARTIN (Louis),L’antimoine dans les spirilloses pathogènes. (Discussion),616,1908,1
BSPE-1-617,"LAVERAN (Alphonse), THIROUX (A.)",À propos du traitement de la trypanosomiase humaine.,617,1908,1
BSPE-1-619,YVON (P.),À propos du traitement de la trypanosomiase humaine. (Discussion),619,1908,1
BSPE-1-620,NATTAN-LARRIER (L.),Sur les résultats du traitement de la trypanosomiase chez le blanc.,620,1908,1
BSPE-1-622,"MARTIN (Louis), MARTIN (Gustave)",Sur les résultats du traitement de la trypanosomiase chez le blanc. (Discussion),622,1908,1
BSPE-1-624,"MARTIN (Gustave), LEBŒUF (A.)",Sur l’emploi de l’Atoxyl seul dans le traitement de la trypanosomiase humaine.,624,1908,1
BSPE-1-630,KERMORGANT (Alexandre),Historique de la fièvre jaune à la Martinique.,630,1908,1
BSPE-1-642,"CHANTEMESSE (A.), MARCHOUX (Emile)",Historique de la fièvre jaune à la Martinique. (Discussion),642,1908,1
BSPE-2-6,"BROQUET (CH.), MONTEL (Marie-Louis-René)",Un cas de filariose autochtone chez un Annamite de Cochinchine.,6,1909,2
BSPE-2-8,NICOLAS (CH.),Tumeur éléphantiasique de la vulve du poids de 14 kg 300 g.,8,1909,2
BSPE-2-11,"WEINBERG (M.), MELLO (U.)",Un cas de paratyphoïde avec lésions d’aspect typhique chez le chimpanzé.,11,1909,2
BSPE-2-17,CHANTEMESSE (A.),Un cas de paratyphoïde avec lésions d’aspect typhique chez le chimpanzé. (Discussion) ,17,1909,2
BSPE-2-17,"RAVAUT(), DOPTER (CH.)",Une épidémie de dysenterie bacillaire chez des macaques.,17,1909,2
BSPE-2-20,BRUMPT (Emile),Une épidémie de dysenterie bacillaire chez des macaques. (Discussion),20,1909,2
BSPE-2-20,SPENCER (D.B.),Sur la fièvre typhoïde et paratyphoïde aux Indes anglaises.,20,1909,2
BSPE-2-22,BOURRET (G.),Sur la valeur séméiologique de la formule leucocytaire dans la lèpre.,22,1909,2
BSPE-2-26,"NATTAN-LARRIER (L.), BUSSIERE (A.)",Répartition des Leishmania dans le bouton d’Orient.,26,1909,2
BSPE-2-29,"CHANTEMESSE (A.), RODRIGUEZ",Un cas de dysenterie amibienne traité par le lavement créosoté.,29,1909,2
BSPE-2-32,"WEINBERG (M.), DOPTER (CH.), BILLET (A.), BRUMPT (Emile)",Un cas de dysenterie amibienne traité par le lavement créosoté. (Discussion),32,1909,2
BSPE-2-34,BOUFFARD (Gustave),Prophylaxie du paludisme chez l’européen dans le Haut-Sénégal et Niger.,34,1909,2
BSPE-2-38,"SERGENT (ED.), MOTY (F.), BRUMPT (Emile)",Prophylaxie du paludisme chez l’européen dans le Haut Sénégal et Niger. (Discussion),38,1909,2
BSPE-2-39,THEILER (A.),Sur l’existence de Trypanosoma dimorphon ou d’une espèce voisine au Mozambique et au Zoulouland.,39,1909,2
BSPE-2-40,BROCHARD (V.),Un cas de diagnostic rétrospectif de la maladie du sommeil.,40,1909,2
BSPE-2-45,LEVADITI (C.),Mécanisme d’action des composés arsenicaux dans les trypanosomiases.,45,1909,2
BSPE-2-51,"THIROUX (A.), ANFREVILLE (Leon, d’)",Quelques considérations sur la thérapeutique dans la trypanosomiase humaine.,51,1909,2
BSPE-2-54,POTTEVIN (H.),Quelques considérations sur la thérapeutique dans la trypanosomiase humaine. (Discussion) ,54,1909,2
BSPE-2-54,"MARTIN (Gustave), LEBŒUF (A.)","Les rechutes dans le traitement de la trypanosomiase humaine. De l’association de la couleur de benzidine, afridol violet, à l’atoxyl.",54,1909,2
BSPE-2-59,ISAMBERT,Nouveau vaccinateur.,59,1909,2
BSPE-2-60,PINOY (E.),Conservation et envoi des cultures de champignons inférieurs.,60,1909,2
BSPE-2-67,"DELRIEU, GRALL (CH.), JEANSELME (E.), KERMORGANT (Alexandre)",Rapport de la Comission de la lèpre.,67,1909,2
BSPE-2-73,"CLARENC(), LAFONT (A.)",Fibro-molluscum multiforme.,73,1909,2
BSPE-2-78,VINCENT (H.),Note sur la latence prolongée de l’amibe dysentérique dans l’intestin humain. Les « porteurs d’amibes ».,78,1909,2
BSPE-2-80,VINCENT (H.),Emploi de l’hypochlorite de soude pour le traitement de la dysenterie amibienne chronique. ,80,1909,2
BSPE-2-84,BOUFFARD (Gustave),Prophylaxie du paludisme chez l’indigène dans le Haut-Sénégal et Niger.,84,1909,2
BSPE-2-88,BILLET (A.),Sur un cas de clou de Biskra (avec présentation du malade).,88,1909,2
