	article_id	article_auteur	article_detail	article_titre	revue_annee	revue_numero	article_page
40	AHMC-01-406	le Dr Miquel. I Population	 II Géologie	 Notes d'Histoire naturelle sur le Fouta-Djallon.	1898	01	406
43	AHMC-01-415	le Dr Clarac		 Étiologie, pathogénie et sérothérapie de la fièvre jaune. Par le Dr Sanarelli, directeur de l'institut d'hygiène expérimentale de Montévidéo (Annales de l'Institut Pasteur, N°s de juin, septembre et octobre 1897). Résumé.	1898	01	415
44	AHMC-01-425	le Dr Thiroux		Agglutination et séro-diagnostic dans la fièvre typhoïde.	1898	01	425
45	AHMC-01-429			Bulletin Officiel	1898	01	429
46	AHMC-01-433	le Dr Boury		 Rapport sur l'épidémie de fièvre jaune qui a régné au Soudan français en 1897(1). Par le Dr Auvray et	1898	01	433
49	AHMC-01-459	le Dr Boury. Épidémie de 1897. I	 II Diagnostic — Traitement	 Rapport sur l'épidémie de fièvre jaune qui a régné au Soudan français en 1897 par le Dr Auvray et	1898	01	459
52	AHMC-01-465	le Dr Ed	 Jourdran	 Note sur les ophidiens de Madagascar.	1898	01	465
53	AHMC-01-467	le Dr Gries		"Note sur un nouvel testament ""aiguille-hépatotomie"" pour l'ouverture des abcès profonds du foie."	1898	01	467
54	AHMC-01-470	M. le Dr Lidin	 1° Morbidité	Morbidité et mortalité à Madagascar pendant l'année 1897. Statistique médicale. Extrait du rapport.	1898	01	470
55	AHMC-01-486	M. le Dr Lidin. 1° Morbidité	 2° Mortalité	 Morbidité et mortalité à Madagascar pendant l'année 1897. Statistique médicale. Extrait du rapport.	1898	01	486
57	AHMC-01-525	L	 Bréaudat	 Sur le mode de formation de l'indigo dans les procédés d'extraction industrielle. Fonctions diastasiques des plantes indigofères.	1898	01	525
58	AHMC-01-532			Notes succinctes sur l'état sanitaire de nos colonies	1898	01	532
65	AHMC-01-562	Robert Koch		Sur l'extension de la peste à bubons.	1898	01	562
66	AHMC-01-566			Notes d'hygiène et de médecine sur l'État du Congo. C. Mense	1898	01	566
68	AHMC-02-5	M. le Dr Marchoux. Chapitre premier	 Importance des affections à pneumocoques	 Rôle du pneumocoque dans la pathologie des indigènes du Sénégal et dans la pathogénie de la maladie du sommeil.	1899	02	5
73	AHMC-02-22	le Dr Marchoux		Au sujet de la transmission du paludisme par les moustiques.	1899	02	22
74	AHMC-02-26	M	 le Dr Clavel	 Brancard-palanquin Franck-Fontaine pour le transport des malades et des blessés aux colonies.	1899	02	26
75	AHMC-02-31	deux hommes à l'aide des bretelles sur les épaules		 Brancard-palanquin Franck-Fontaine pour le transport des malades et des blessés aux colonies. Par M. le Dr Clavel. 1° Transport	1899	02	31
76	AHMC-02-32	deux hommes à l'aide de deux bambous		 Brancard-palanquin Franck-Fontaine pour le transport des malades et des blessés aux colonies. Par M. le Dr Clavel. 1° Transport par deux hommes à l'aide des bretelles sur les épaules. 2° Transport	1899	02	32
77	AHMC-02-33	deux hommes à l'aide d'un seul bambou sur la tête		 Brancard-palanquin Franck-Fontaine pour le transport des malades et des blessés aux colonies. Par M. le Dr Clavel. 3° Transport par deux hommes à l'aide d'un seul bambou. 4° Transport	1899	02	33
78	AHMC-02-34	quatre hommes à l'aide de deux bambous	 en file indienne	 Brancard-palanquin Franck-Fontaine pour le transport des malades et des blessés aux colonies. Par M. le Dr Clavel. 4° Transport par deux hommes à l'aide d'un seul bambou sur la tête. 5° Transport	1899	02	34
79	AHMC-02-36	quatre hommes placés deux à deux à la même hauteur		 Brancard-palanquin Franck-Fontaine pour le transport des malades et des blessés aux colonies. Par M. le Dr Clavel. 6° Transport	1899	02	36
80	AHMC-02-47			Morbidité et mortalité. À la Guyane française pendant l'année 1897. Extrait du rapport annuel du Dr Le Jollec	1899	02	47
81	AHMC-02-48			 Morbidité et mortalité. À la Guyane française pendant l'année 1897. Extrait du rapport annuel du Dr Le Jollec. Chapitre premier	1899	02	48
82	AHMC-02-57			 Morbidité et mortalité. À la Guyane française pendant l'année 1897. Extrait du rapport annuel du Dr Le Jollec. Chapitre premier. Chapitre II	1899	02	57
83	AHMC-02-80	le Dr P.-L	 Simond	 La propagation de la peste.	1899	02	80
84	AHMC-02-83	mer		 La propagation de la peste. Par le Dr P.-L. Simond. Rôle du rat dans la propagation de la peste par terre et	1899	02	83
85	AHMC-02-86	les rats. — Contagion d'homme à homme. — Influence des saisons sur le développement de l'épidémie	 — Recrudescence périodique	 La propagation de la peste. Par le Dr P.-L. Simond. Rôle du rat dans la propagation de la peste par terre et par mer. Objections faites à la propagation	1899	02	86
86	AHMC-02-94	les rats. — Contagion d'homme à homme. — Influence des saisons sur le développement de l'épidémie. — Recrudescence périodique. Durée de l'inoculation de la peste. — Prophylaxie	 — Conclusions	 La propagation de la peste. Par le Dr P.-L. Simond. Objections faites à la propagation	1899	02	94
87	AHMC-02-98	le Dr Lecomte		Rapport sur les opérations de vaccination pratiquées dans l'Ogooué (Congo français) en 1896-1897.	1899	02	98
88	AHMC-02-103	M	 le Dr Blin	Épidémie d'ophtalmie purulente observée dans les établissements français de l'Inde, attribuée à un petit diptère du groupe des simulies ou moucherons.	1899	02	103
89	AHMC-02-108			La peste à Tamatave	1899	02	108
90	AHMC-02-109	le Dr Pinard		Kérato-conjonctivite produite par un serpent cracheur.	1899	02	109
91	AHMC-02-110	le Dr Le Corre		Clinique d'Outre-Mer. Abcès du foie traités à l'hôpital de Saigon pendant l'année 1897.	1899	02	110
92	AHMC-02-121	M. le Dr L	 Mul	Variétés. Quatre mois de séjour dans le Haut-Dahomey.	1899	02	121
93	AHMC-02-122	M. le Dr L. Mul. L'Onémé	 Dogba	 Variétés. Quatre mois de séjour dans le Haut-Dahomey.	1899	02	122
101	AHMC-02-132	M. le Dr L. Mul. Contrepoison des blessures de flèches	 Langues	 Variétés. Quatre mois de séjour dans le haut-Dahomey.	1899	02	132
107	AHMC-02-145	le Dr J. Camail. Chapitre premier	 Météorologie	 Contribution à la géographie médicale des îles Saint-Pierre et Miquelon.	1899	02	145
111	AHMC-02-175	MM	 Carré, Fraimbault et Yersin	Résultats d'expériences faites à l'Institut Pasteur de Nha-Trang (Annam) sur le traitement de la peste bovine.	1899	02	175
112	AHMC-02-182			Morbidité et mortalité en Annam-Tonkin pendant l'année 1897. Extrait du rapport annuel du Dr Sérez	1899	02	182
113	AHMC-02-201			 Morbidité et mortalité en Annam-Tonkin pendant l'année 1897. Extrait du rapport annuel du Dr Sérez. Chapitre II	1899	02	201
114	AHMC-02-211			 Morbidité et mortalité en Annam-Tonkin pendant l'année 1897. Extrait du rapport annuel du Dr Sérez. Chapitre II. Chapitre III	1899	02	211
115	AHMC-02-214	M. A	 Pairault	 Notes sur la fabrication du rhum à la Guadeloupe.	1899	02	214
116	AHMC-02-227	le Dr Morel		Contribution à la géographie médicale. Observation d'un cas de fièvre bilieuse hémoglobinurique aux Nouvelles-Hébrides.	1899	02	227
117	AHMC-02-231	le Dr Escande De Messières		Des maladies provoquées ou simulées chez les condamnés aux travaux forcés.	1899	02	231
118	AHMC-02-241	M	 Laveran à l'académie de médecine dans la séance du 31 janvier 1899	" Rapport sur un travail de M. le Docteur Ronald Ross, intitulé : ""Note pour l'histoire du parasite du paludisme en dehors de l'organisme humain"", présenté"	1899	02	241
119	AHMC-02-250	le Dr Delay		 Rapport médical sommaire sur l'épidémie de peste bubonique observée à Mongtzé (Chine) pendant les mois de juillet-août 1898.	1899	02	250
121	AHMC-02-258	M. le Dr L	 Mul	 Rapport médical sommaire sur l'épidémie de peste bubonique observée à Mongtzé (Chine) pendant les mois de juillet-août 1898. Par le Dr Delay. Observations résumées. Variétés. Quatre mois de séjour dans le Haut-Dahomey.	1899	02	258
122	AHMC-02-266	le Dr Paul Guérin		Clinique d'Outre-Mer. Rupture du diaphragme.	1899	02	266
123	AHMC-02-271	le Dr Perrot		Sur un cas d'arrêt de développement (exomphalie). Par le Dr Bouyssou, et	1899	02	271
124	AHMC-02-273			Mesures prises à Tamatave. Pour localiser l'épidémie de peste et pour l'enrayer	1899	02	273
125	AHMC-02-283	le professeur B	 Grassi	Rapports entre la malaria et certains insectes (cousins et moustiques des marais).	1899	02	283
126	AHMC-02-286			 Bulletin officiel	1899	02	286
127	AHMC-02-289	le Dr Gries		 Relation d'une recrudescence endémo-épidémique de fièvre jaune observée à la Martinique dans le cours des années 1895. 1896. 1897 et 1898.	1899	02	289
131	AHMC-02-322			 Morbidité et mortalité au Congo français pendant l'année 1897. Extrait du rapport du Dr Duvigneau	1899	02	322
132	AHMC-02-334	le Dr Spire		 Notes médicales sur le Haut-Oubangui.	1899	02	334
133	AHMC-02-345			Sanatoria et camps de dissémination de nos colonies	1899	02	345
134	AHMC-02-346			 Sanatoria et camps de dissémination de nos colonies. Guadeloupe	1899	02	346
135	AHMC-02-347			 Sanatoria et camps de dissémination de nos colonies. Guadeloupe. Martinique	1899	02	347
136	AHMC-02-351			 Sanatoria et camps de dissémination de nos colonies. Martinique. Sénégal et côte occidentale d'Afrique	1899	02	351
137	AHMC-02-356			 Sanatoria et camps de dissémination de nos colonies. Réunion. Madagascar	1899	02	356
138	AHMC-02-358			 Sanatoria et camps de dissémination de nos colonies. Madagascar. Indo-Chine	1899	02	358
139	AHMC-02-361			 Sanatoria et camps de dissémination de nos colonies. Indo-Chine. Projet de station sanitaire à Langsa, province de Nha-Trang (Annam)	1899	02	361
140	AHMC-02-365	L	 Bréaudat	Sur la constitution chimique des ferments solubles oxydants.	1899	02	365
141	AHMC-02-378	le Dr Yersin		 L'épidémie de peste à Nha-Trang de juin à octobre 1898.	1899	02	378
142	AHMC-02-390			Peste bubonique observée à Ping-Shiang (province de Kouang-Si (Chine), avril-mai-juin 1898). Extrait du rapport du Dr Thoulon	1899	02	390
143	AHMC-02-399	le Dr Thiroux		Rapport sur la sérothérapie de la peste bubonique.	1899	02	399
144	AHMC-02-408	le Dr Jourdran		Note sur une araignée de Madagascar (Mena-vody des indigènes).	1899	02	408
145	AHMC-02-411	le Dr Marchoux		 Diagnostic bactériologique de la fièvre typhoïde dans les pays chauds.	1899	02	411
146	AHMC-02-417	le sérum antivenimeux du Dr Calmette		Morsures de serpents traitées	1899	02	417
147	AHMC-02-423	le Dr Jourdran		 Clinique d'Outre-Mer. Trois cas de calculs vésicaux chez des enfants malgaches opérés par la taille hypogastrique.	1899	02	423
148	AHMC-02-426			 Instructions pour l'emploi du sérum antivénimeux	1899	02	426
149	AHMC-02-427			Instructions pour la récolte du venin des serpents destiné à vacciner les animaux qui fournissent le sérum antivenimeux	1899	02	427
151	AHMC-02-433	le Dr Simond	 I Fonctionnement du service vaccinogène	 Fonctionnement de l'Institut Pasteur de Saïgon et des services vaccinaux de l'Indo-Chine, pendant l'année 1898.	1899	02	433
157	AHMC-02-471	le Dr Lasnet	 Ethnologie	 Notes d'ethnologie et de médecine sur les Sakalaves du Nord-Ouest.	1899	02	471
160	AHMC-02-497			Instructions adressées à nos colonies de la côte occidentale d'Afrique, au sujet des mesures à prendre en cas de peste	1899	02	497
161	AHMC-02-504			 Instructions adressées à nos colonies de la côte occidentale d'Afrique, au sujet des mesures à prendre en cas de peste. Principaux symptômes de la peste	1899	02	504
162	AHMC-02-506			 Instructions adressées à nos colonies de la côte occidentale d'Afrique, au sujet des mesures à prendre en cas de peste. Principaux symptômes de la peste. Emploi du sérum antipesteux	1899	02	506
163	AHMC-02-509	le Dr Tédeschi		Note sur l'immunité vaccinale due à la variole et les causes fréquentes d'insuccès de la vaccination au Tonkin.	1899	02	509
164	AHMC-02-513	le Dr Thiroux		Rapport sur la lymphangite infectieuse de la Réunion.	1899	02	513
165	AHMC-02-521	le Dr Tédeschi		Hygiène professionnelle. Accidents provoqués par la manipulation de la laque au Tonkin.	1899	02	521
166	AHMC-02-529	le Dr Drevon		 Hygiène professionnelle. Vanillisme.	1899	02	529
167	AHMC-02-533	le Dr Henri Vergoz		 Variole et vaccination à la Côte d'Ivoire. juillet à décembre 1897. année 1898 et janvier 1899.	1899	02	533
168	AHMC-02-545	MM	 Pignet et Ferraud	Quelques mots sur le lait.	1899	02	545
169	AHMC-02-548	le Dr Couderc		Deux cas de Sphacèle étendu observés sur des noirs du Sénégal.	1899	02	548
170	AHMC-02-552	M Pottier		Note sur l'huile de Camellia Drupifera.	1899	02	552
171	AHMC-02-555	le Dr Palmyr Cordier		Variétés. Médecins et médecine au Bengale.	1899	02	555
172	AHMC-02-583	M	 le Dr Roubaud	Clinique d'Outre-Mer. Expulsion d'un foetus mort et momifié, à la suite de l'accouchement d'un enfant vivant et presque à terme.	1899	02	583
173	AHMC-02-587	le Dr Grall		Pathologie exotique. — Études cliniques de pathologie exotique en Indo-Chine.	1899	02	587
175	AHMC-03-5	le Dr Miquel		 Contribution à la géographie médicale. Notes médicales sur l'expédition du Fouta-Djallon et sur le poste de Timbo (mars à décembre 1896).	1900	03	5
177	AHMC-03-17	le Dr Lasnet		 Notes sur la pharmacopée des Sakalaves du Nord-Ouest.	1900	03	17
185	AHMC-03-43	M	 le Dr Paul Gouzien	 Notes sur la pharmacopée des Sakalaves du Nord-Ouest. Par le Dr Lasnet. 7° Préservateurs, amulettes, recettes diverses. — Bétaly. Note sur l'emploi de l'Ahouandémé (Cassia Occidentalis L.), et des injections hypodermiques massives de sérum artificiel dans le traitement de la fièvre bilieuse hémoglobinurique.	1900	03	43
186	AHMC-03-44	M. le Dr Paul Gouzien	 I Injections hypodermiques massives de sérum artificiel	 Note sur l'emploi de l'Ahouandémé (Cassia Occidentalis L.), et des injections hypodermiques massives de sérum artificiel dans le traitement de la fièvre bilieuse hémoglobinurique.	1900	03	44
190	AHMC-03-98	M	 le Dr Mondon	Notes sur des abcès du foie observés au Tonkin.	1900	03	98
191	AHMC-03-100	M. le Dr Mondon	 Nombre d'abcès et répartition des abcès	 Notes sur des abcès du foie observés au Tonkin.	1900	03	100
195	AHMC-03-114	le Dr Damiens		 Du fond de l'oeil normal dans la race noire et de l'examen à l'ophtalmoscope (image renversée).	1900	03	114
196	AHMC-03-119	M	 le Dr Marchoux	Fonctionnement du laboratoire de microbiologie de Saint-Louis (Sénégal) et note sur la dysenterie des pays chauds.	1900	03	119
197	AHMC-03-132	M. le Dr L	 Touin	 Clinique d'Outre-Mer. Note sur un cas de calculs multiples de l'urètre chez l'homme.	1900	03	132
198	AHMC-03-134			Éléphantasis du scrotum pesant 80 kilos. Extrait du rapport du Dr Kieffer	1900	03	134
199	AHMC-03-137	Alfred Filassier		De la détermination des pouvoirs publics en matière d'hygiène.	1900	03	137
200	AHMC-03-138			 Instructions sommaires pour aider à la récolte des produits de nos colonies	1900	03	138
202	AHMC-03-145	M. le Dr Delay. I	 — Climatologie	 Géographie médicale. Notes sur le Yun-Nan (Chine).	1900	03	145
207	AHMC-03-172	M	 le Dr Bouffard	 Géographie médicale. Notes médicales recueillies à Tchen-Tou, capitale de la province du Setchouen (Chine).	1900	03	172
208	AHMC-03-183	le Dr Andrieux		Épidémie de béribéri observée à Poulo-Condore en 1897-1898.	1900	03	183
209	AHMC-03-190			 Poussée épidémique de paludisme observée en Annam. Extrait du rapport du mois de décembre 1898, du Dr Sérez	1900	03	190
210	AHMC-03-193			 Apercu sur les conditions hygiéniques de Tamatave	1900	03	193
211	AHMC-03-203	M. L	 Bréaudat	 Nouvelles recherches sur les fonctions diastasiques des plantes indigofères.	1900	03	203
212	AHMC-03-206	Albert Pairault		 Notes sur la valeur alimentaire et industrielle des plantes comestibles féculentes cultivées aux Antilles.	1900	03	206
213	AHMC-03-216	M. Fr	 Turié	 Sur le dosage de la silice et du fer dans les eaux potables.	1900	03	216
214	AHMC-03-218	M. le Dr Métin	 Origine de la peste à Porto	La peste de Porto.	1900	03	218
215	AHMC-03-224	M. le Dr Métin. Origine de la peste à Porto	 Symptomatologie de la peste	 La peste de Porto.	1900	03	224
219	AHMC-03-265	M	 le Dr Paul Guérin	De la toxicité des physalies.	1900	03	265
220	AHMC-03-271	M	 le Dr Rigollet	Observations d'hépatite suppurée recueillies à Kati (Soudan français) en 1898.	1900	03	271
221	AHMC-03-282	M	 le Dr Talbot	 Circoncision rituelle de la femme dans l'Afrique occidentale.	1900	03	282
222	AHMC-03-286	M	 le Dr Boyé	Étude d'une labiée à racine tuberculeuse servant à l'alimentation des indigènes du Soudan et pouvant remplacer la pomme de terre aux colonies. Par M. le Dr Le Dantec et	1900	03	286
223	AHMC-03-292	M	 le Dr Blin	Variétés. Préjugés des Hindous sur la variole.	1900	03	292
224	AHMC-03-302	le Dr J	 Brault	Traité pratique des maladies des pays chauds et tropicaux.	1900	03	302
226	AHMC-03-305	MM. les Drs A. Kermorgant et G	 Reynaud	 Précautions hygiéniques à prendre pour les expéditions et les explorations aux pays chauds.	1900	03	305
237	AHMC-03-414	M	 le Dr Paul Gouzien	Note complémentaire sur l'emploi de la sérothérapie artificielle dans le traitement de la fièvre bilieuse hémoglobinurique. — Relevés statistiques.	1900	03	414
238	AHMC-03-416	M. le Dr Paul Gouzien	 Observation XIII	 Note complémentaire sur l'emploi de la sérothérapie artificielle dans le traitement de la fièvre bilieuse hémoglobinurique. — Relevés statistiques.	1900	03	416
240	AHMC-03-447			 Situation sanitaire du Japon	1900	03	447
241	AHMC-03-448			 Situation sanitaire du Japon. Bulletin officiel	1900	03	448
242	AHMC-03-451	M. le Dr Boyé. Combats de Tombougou et de Sokoura	 Colonne du lieutenant-colonel Bertin	 Les Colonnes contre Samory dans la région sud du Soudan français (septembre 1897 à octobre 1898).	1900	03	451
251	AHMC-03-492	M	 le Dr Gaide	Notes médicales sur la Chine.	1900	03	492
252	AHMC-03-493	M. le Dr Gaide	 Pathologie	 Notes médicales sur la Chine.	1900	03	493
255	AHMC-03-506	M	 le Dr Yersin	 Fonctionnement de l'Institut Pasteur de Nha-Trang (Annam).	1900	03	506
256	AHMC-03-520	M	 le Dr Merveilleux	Réunion. Hôpitaux coloniaux. Morbidité et mortalité en 1899.	1900	03	520
257	AHMC-03-522	M. le Dr Merveilleux. Morbidité et mortalité. Chapitre premier	 Considérations générales sur la morbidité et la mortalité de l'année	 Réunion. Hôpitaux coloniaux. Morbidité et mortalité en 1899.	1900	03	522
259	AHMC-03-537			Mesures prises à Tamatave et à Antsirane (Madagascar), contre la peste qui a régné dans ces deux localités pendant l'année 1899	1900	03	537
260	AHMC-03-541			Maladies épidémiques qui ont régné à la Côte d'Ivoire au cours de l'année 1899. Extrait du rapport du Dr Mondon	1900	03	541
261	AHMC-03-547	M	 le Dr Touin	Mesures et procédés de désinfection imposés en Amérique aux provenances des Antilles.	1900	03	547
262	AHMC-03-548	M. le Dr Touin	 Code quarantenaire	 Mesures et procédés de désinfection imposés en Amérique aux provenances des Antilles.	1900	03	548
264	AHMC-03-562	M	 le Dr Rencurel	Les sarimbavy. Perversion sexuelle observée en Émyrne.	1900	03	562
265	AHMC-03-569	les sérums d'Haffkin et de Yersin. Traduction de M	 le Dr Métin	 Rapport du capitaine Stevenson I.-M.-S. sur les vaccinations	1900	03	569
266	AHMC-03-577	le Dr Fajardo		Présence des hématozoaires du Béribéri dans le cerveau.	1900	03	577
267	AHMC-03-578	A	 Plehn	L'anémie tropicale, et ses relations avec les manifestations larvées ou réelles du paludisme.	1900	03	578
268	AHMC-03-580	A. Celli et G	 Delpino	L'épidémiologie du paludisme d'après les nouvelles données étiologiques.	1900	03	580
269	AHMC-03-581	Tanaga		La maladie du Kédani.	1900	03	581
270	AHMC-03-582			Dr Sigaud, de Lyon. Traité clinique de la digestion et du régime alimentaire, d'après les données de l'exploration externe du tube digestif	1900	03	582
272	AHMC-04-5	M	 le Dr Angier	 Le Cambodge. Géographie médicale.	1901	04	5
276	AHMC-04-60	M. le Dr J.-A	 Chabaneix	 Notes médicales sur l'Abyssinie.	1901	04	60
283	AHMC-04-77	M	 le Dr Palmyr Cordier	Origines, évolution et décadence de la médecine indienne.	1901	04	77
284	AHMC-04-89			Nouvelle-Calédonie. Hôpitaux. Morbidité et mortalité en 1899. Extrait du rapport de M. le Dr Primet	1901	04	89
285	AHMC-04-99	M. le Dr J.-C	 Baurac	De quelques maladies simulées en Cochinchine.	1901	04	99
286	AHMC-04-113	M. le professeur Dr E	 Heckel	 Contribution à l'étude des plantes médicinales et toxiques employées par les indigènes de la Côte d'Ivoire (Afrique occidentale).	1901	04	113
287	AHMC-04-121			Notes médicales sur le contesté franco-brésilien. Extrait du rapport du docteur Burdin	1901	04	121
288	AHMC-04-128	M. le Dr P.-L.-S	 Simond 	Paludisme.	1901	04	128
289	AHMC-04-134	M. le Dr G	 Blin	 Un accouchement au Dahomey.	1901	04	134
290	AHMC-04-141			 Institut Pasteur de Madagascar	1901	04	141
291	AHMC-04-142	le permanganate de potasse		Désinfection des puits	1901	04	142
292	AHMC-04-144			 Impotence fonctionnelle observée sur les pêcheurs de thon aux Antilles	1901	04	144
293	AHMC-04-145			Conservation du vaccin	1901	04	145
294	AHMC-04-146			 Variétés. Quelques us et coutumes des indigènes de la Côte d'Ivoire	1901	04	146
296	AHMC-04-157	M	 le Dr Lafont	 L'île d'Anjouan.	1901	04	157
303	AHMC-04-192	M. le Dr A	 Vallet	Notes médicales sur le poste de Dori, région du Liptako.	1901	04	192
304	AHMC-04-205	M	 le Dr Ortholan	 Quelques notes sur Ssé-Mao (Chine).	1901	04	205
305	AHMC-04-210	M. le docteur A	 Kermorgant	Eaux thermales et minérales des colonies françaises(1).	1901	04	210
306	AHMC-04-211	M. le docteur A. Kermorgant	 Martinique	 Eaux thermales et minérales des colonies françaises(1).	1901	04	211
316	AHMC-04-248			Sénégal et Soudan. Hôpitaux. Morbidité et mortalité en 1899. Extrait du Rapport de M. le Dr Kieffer	1901	04	248
