	Unnamed: 0	cote	article_id	chapitre	revue_annee	page	article_description	article_section
9761	26321	90156x1890x53	AMN-1890-435	II. Mémoires originaux. L'anesthésie intra-veineuse à l'évipan sodique. Par MM. le médecin principal Pervès et le médecin de 1re classe Badelon. (Clinique chirurgicale de l'hôpital maritime de Sainte-Anne, Toulon.). Conclusions. / Rapport médical de fin de campagne en A. O. F. (Extraits.). Par M. le médecin principal Maurandy	1890	435	 / A propos de quelques maladies observées dans le personnel de la marine. / Béribéri	article
9762	26322	90156x1890x53	AMN-1890-436	II. Mémoires originaux. Rapport médical de fin de campagne en A. O. F. (Extraits.). Par M. le médecin principal Maurandy	1890	436	 A propos de quelques maladies observées dans le personnel de la marine. Béribéri. / Polynévrites	article
9770	26337	90156x1890x53	AMN-1890-451	II. Bulletin clinique. Sur un cas de bubon mixte (Chancrelle, syphilis, maladie de Nicolas-Favre). Par MM. le médecin principal Masure et le médecin de 1re classe Le Méhauté. / Conclusions. / Sur deux cas hybrides de syphilis et de tuberculose cutanée. Par MM. Masure, Le Méhauté	1890	451	 et Hallé, ..	article
9771	26338	90156x1890x53	AMN-1890-452	II. Bulletin clinique. Sur deux cas hybrides de syphilis et de tuberculose cutanée. Par MM. Masure, Le Méhauté	1890	452	 et Hallé, ... / 1re observation	article
9788	26369	90156x1890x54	AMN-1890-5	Rapport médical sur la campagne du croiseur Le d'Estaing. / Station de Madagascar. Par le Dr Drago	1890	5	 (Suite). / Notes de géographie médicale	article
9789	26370	90156x1890x54	AMN-1890-6	Rapport médical sur la campagne du croiseur Le d'Estaing. Station de Madagascar. Par le Dr Drago	1890	6	 (Suite). Notes de géographie médicale. / Hôpitaux	article
9793	26388	90156x1890x54	AMN-1890-24	II. Mémoires originaux. Calcémie normale et pathologique. Étude des principales méthodes de détermination du taux de calcémie. Réalisation d'un appareil filtrant entièrement en verre permettant d'utiliser une technique dérivée de la méthode de Velluz et Deschazeaux, mais plus rapide et plus exacte. Par MM. le pharmacien-chimiste principal Audiffren	1890	24	 et le pharmacien-chimiste de 2e classe Buffe. 1. Calcémie normale. - Calcémie pathologique. / a. Calcémie normale	article
9807	26409	90156x1890x54	AMN-1890-45	Opium des fumeurs. I. - Sa préparation. II. - L'analyse chimique appliquée au contrôle des échantillons. Par E. Lalande	1890	45	 Préparation de l'opium. III. Préparation du chandoo. / I. Décortiquage des boules d'opium (première journée)	article
9812	26415	90156x1890x54	AMN-1890-51	II. Mémoires originaux. Contribution aux recherches anthropométriques concernant les jeunes gens de 15 à 18 ans, par l'étude des mensurations prises sur 1910 sujets de l'école des apprentis-marins et 165 sujets de l'école de maistrance. Par M. le médecin en chef de 2e classe Clavier. II. Recherches faites à bord. D. La valeur de l'indice de Pignet. / Les maladies vénériennes à la marine au Maroc et à Casablanca, par M. le médecin de 1re classe Baron	1890	51	 (1933-1935.)	article
9821	26438	90156x1890x54	AMN-1890-74	I. Notes historiques. Un grand pharmacien. - Un grand colonial. Le gouverneur général Victor Liotard. Par M. Henri Bobichon, 	1890	74	 / II. Mémoires originaux. / Le centre de phtisiothérapie de la marine de Rochefort. Par MM. le médecin en chef de 2e classe Pierre... et le médecin de 1re classe Constans... / Raisons et but de la création	article
9822	26440	90156x1890x54	AMN-1890-76	II. Mémoires originaux. Le centre de phtisiothérapie de la marine de Rochefort. Par MM. le médecin en chef de 2e classe Pierre	1890	76	 et le médecin de 1re classe Constans... Conditions d'admission. 1° Conditions administratives. / 2° Conditions médicales	article
9827	26452	90156x1890x54	AMN-1890-88	Contribution à la pathologie de l'île de Nossi-Bé (Madagascar). Par le Docteur Léon Canolle	1890	88	 Contribution à la pathologie de l'île de Nossi-Bé (Madagascar) en général, et en particulier d'une fièvre paludéenne dite accès hématurique, distincte de l'accès jaune (ou fièvre bilieuse hématurique). II. - Pathologie médicale. 2° De l'existence à Nossi-bé de la fièvre bilieuse hématurique (accès jaune), et d'une fièvre hématurique (accès hématurique). / 3° De la fièvre hématurique, ou accès hématurique. / A. - Ses caractères différentiels à Nossi-Bé	article
9866	26523	90156x1890x54	AMN-1890-159	Variétés. / Tableaux de zoologie. Par Charles Brongniart	1890	159	 [Dr L. V.]	article
9868	26525	90156x1890x54	AMN-1890-161	La contagiosité de la lèpre. Par le Docteur F. Forné	1890	161		article
9890	26588	90156x1890x54	AMN-1890-222	Traitement de la dysenterie des pays chauds par lavages antiseptiques du gros intestin. Par le Docteur Le Dantec	1890	222	 / Considérations générales sur la dysenterie	article
9894	26596	90156x1890x54	AMN-1890-230	Contribution à la géographie médicale. / Division navale de l'océan pacifique (1888-1890). Le Callao. - Panama. - Payta. - San Francisco. - Honolulu. - Auckland. - Valparaiso. Par le Dr Beaumanoir	1890	230	 / Le Callao. / Aperçu hygiénique. / Propreté des rues de la ville. / Vidanges	article
9895	26597	90156x1890x54	AMN-1890-231	Contribution à la géographie médicale. Division navale de l'océan pacifique (1888-1890). Le Callao. - Panama. - Payta. - San Francisco. - Honolulu. - Auckland. - Valparaiso. Par le Dr Beaumanoir	1890	231	 Le Callao. Vidanges. / État des faubourgs. / Climat. / État hygrométrique	article
9900	26602	90156x1890x54	AMN-1890-236	Variétés. / Congrès médical international de Berlin	1890	236		article
9902	26607	90156x1890x54	AMN-1890-241	Nouvelles recherches sur le « Cassia alata » casse à gousses ailées (légumineuses). Par A.-M. Porte	1890	241		article
9908	26618	90156x1890x54	AMN-1890-252	II. Mémoires originaux. Sur huit cas de grossesse extra-utérine. Par MM. le médecin principal Brette et les médecins de 1re classe Carre et Loumaigne. / Localisations suppuratives du carrefour aéro-digestif après angine. / Remarques sur leur diagnostic et leur traitement. Par MM. le médecin en chef de 2e classe B. de la Bernardie	1890	252	 et le médecin de 1re classe de Tanouarn	article
9909	26619	90156x1890x54	AMN-1890-253	II. Mémoires originaux. Localisations suppuratives du carrefour aéro-digestif après angine. Remarques sur leur diagnostic et leur traitement. Par MM. le médecin en chef de 2e classe B. de la Bernardie	1890	253	 et le médecin de 1re classe de Tanouarn. / Observation I. - Abcès de la langue à point de départ amygdalien	article
9911	26624	90156x1890x54	AMN-1890-258	Contribution à la géographie médicale. Division navale de l'océan pacifique (1888-1890). Le Callao. - Panama. - Payta. - San-Francisco. - Honolulu. - Auckland. - Valparaiso. Par le Dr Beaumanoir	1890	258	 (Suite.). Hôpitaux du Callao. 2° Hôpital de Guadalupe. / Lima. / Sa situation. - Son climat. - Pathologie	article
9913	26626	90156x1890x54	AMN-1890-260	III. Pratique journalière. / Nouveaux conseils aux médecins de garde par les chefs de clinique de l'école d'application. / 1re partie (partie médicale.). / Médecine générale. Par M. le médecin principal Lahillonne, 	1890	260	 / Accidents sériques	article
9914	26627	90156x1890x54	AMN-1890-261	III. Pratique journalière. Nouveaux conseils aux médecins de garde par les chefs de clinique de l'école d'application. 1re partie (partie médicale.). Médecine générale. Par M. le médecin principal Lahillonne, 	1890	261	 Accidents sériques. / Angines. / I. Angines rouges	article
9966	26694	90156x1890x54	AMN-1890-328	IV. Bulletin clinique. / Un cas d'ulcères phagédéniques des pays chauds. Par M. le médecin principal Deney	1890	328		article
9998	26754	90156x1890x54	AMN-1890-385	II. Mémoires originaux. Le régime cétogène dans trois cas de colibacillurie. Par M. le médecin en chef de 2e classe Doré	1890	385	 Observations. Observation III. / III. Chronique documentaire. / Étude clinique et biologique des premiers cas de fièvre ondulante dans le département de la Manche. Par M. le médecin principal Duliscouët et M. le médecin de 1re classe Soubigou	article
10006	26775	90156x1890x54	AMN-1890-406	IV. Pratique journalière. / Nouveaux conseils aux médecins de garde. / 1re partie (partie médicale.) [Suite.]. / Neuro-psychiâtrie. Par M. le médecin de 1re classe Picard	1890	406	 / Les agités. / Délires. / Délires des affections aiguës	article
10007	26776	90156x1890x54	AMN-1890-407	IV. Pratique journalière. Nouveaux conseils aux médecins de garde. 1re partie (partie médicale.) [Suite.]. Neuro-psychiâtrie. Par M. le médecin de 1re classe Picard	1890	407	 Les agités. Délires. Délires des affections aiguës. / Délire aigu ou encéphalite psychosique	article
10013	26796	90156x1890x54	AMN-1890-427	IV. Pratique journalière. Bactériologie. Notes d'examen d'urgence pour le médecin de garde. Par M. le médecin de 1re classe Pennanéac'h	1890	427	 / Formule leucocytaire. / Paludisme	article
10015	26800	90156x1890x54	AMN-1890-431	Observations d'hépatite suppurée recueillies à l'hôpital maritime de Cherbourg. Service de M. le directeur du service de santé Dugé de Bernonville. Par M. le Dr Léo	1890	431	 Commentaires sur la première observation. / Commentaires sur la seconde observation	article
10023	26815	90156x1890x54	AMN-1890-446	Notes médicales sur Rio-de-Janeiro. Par M. le Dr Bahier	1890	446		article
10028	26827	90156x1890x54	AMN-1890-458	Note sur la patate douce (Ipomoea batatas) en Nouvelle-Calédonie. Par A.-M. Porte	1890	458	 Historique. / Composition immédiate de la patate	article
10031	26832	90156x1890x54	AMN-1890-463	Lampe pour l'éclairage médical. Par le Dr Simon	1890	463		article
10033	26834	90156x1890x54	AMN-1890-465	Deux cas d'automatisme ambulatoire chez des militaires considérations médico-légales. Par le Dr Le Dantec	1890	465	 Observ. I. - Automatisme comitial ambulatoire. / Observ. II. - Automatisme hystérique ambulatoire	article
10043	26854	90156x1891x55	AMN-1891-5	De la verruga. Par le Dr Beaumanoir	1891	5	 / Synonymie. / Verruga Peruana. / Définition	article
10059	26894	90156x1891x55	AMN-1891-45	Lèpre et pian aux Antilles. Léproserie de la désirade. Par M. le docteur Honoré Lacaze	1891	45	 Léproserie de la désirade (Antilles françaises). / Léproserie de la désirade. Observations sommaires de quelques malades. / Lèpre de forme anesthésique	article
10065	26919	90156x1891x55	AMN-1891-70	IV. Pratique journalière. / Nouveaux conseils aux médecins de garde (suite). (Partie chirurgicale). Par M. le médecin principal Morvan, 	1891	70		article
10066	26920	90156x1891x55	AMN-1891-71	IV. Pratique journalière. Nouveaux conseils aux médecins de garde (suite). (Partie chirurgicale). Par M. le médecin principal Morvan, 	1891	71	 / I. Traumatismes. / Choc traumatique. / Symptomatologie. / Traitements. / Traitement symptomatique. / Traitement pathogénique	article
10110	26992	90156x1891x55	AMN-1891-143	La lèpre en Nouvelle-Calédonie. Par M. le docteur M.-A. Legrand	1891	143	 V. Prophylaxie de la lèpre, l'isolement seul moyen rationnel. - Centres d'isolement, léproseries. - Traitement presque impossible ici. - Mesures à prendre pour enrayer le fléau, conclusions. Prophylaxie de la lèpre, l'isolement seul moyen rationnel. / Conclusions	article
10112	26995	90156x1891x55	AMN-1891-146	Clinique thérapeutique. Traitement de la blennorrhagie aiguë par les injections alcalines de bicarbonate de soude. Par le Dr Astius Castellan	1891	146	 / a. Au début de la blennorrhagie, le pus est presque toujours acide. / b. Le traitement par le bicarbonate de soude fait rapidement diminuer l'abondance de l'écoulement ; il fait disparaître aussi rapidement ou atténue vite les douleurs qui accompagnent la miction. / Conclusions	article
10114	26999	90156x1891x55	AMN-1891-150	Les vaccinations au Tonkin. Par le docteur Paul Gouzien	1891	150	 (Mission de mai-juin-juillet 1889). / I. La variole au Tonkin. - Les premiers essais de vaccination à Hanoï et dans les postes. - Création d'un service mobile de vaccination	article
10123	27032	90156x1891x55	AMN-1891-183	Les secours aux blessés dans les guerres maritimes. / I. - Quatrième conférence internationale des sociétés de la Croix-Rouge, tenue à Carlsruhe du 22 au 27 septembre 1887. / XIIe question. Activité maritime des Sociétés de la Croix-Rouge. Rapport du Comité central des associations allemandes de la Croix-Rouge	1891	183		article
10124	27036	90156x1891x55	AMN-1891-187	Les secours aux blessés dans les guerres maritimes. I. - Quatrième conférence internationale des sociétés de la Croix-Rouge, tenue à Carlsruhe du 22 au 27 septembre 1887. XIIe question. Activité maritime des Sociétés de la Croix-Rouge. Rapport du Comité central des associations allemandes de la Croix-Rouge. / Discussion	1891	187		article
10125	27040	90156x1891x55	AMN-1891-191	Les secours aux blessés dans les guerres maritimes. I. - Quatrième conférence internationale des sociétés de la Croix-Rouge, tenue à Carlsruhe du 22 au 27 septembre 1887. Discussion. / II. - Comité international de la Croix-Rouge - Genève. / Activité maritime des sociétés de la Croix-Rouge. / 71e circulaire	1891	191		article
10126	27043	90156x1891x55	AMN-1891-194	Les secours aux blessés dans les guerres maritimes. II. - Comité international de la Croix-Rouge - Genève. Activité maritime des sociétés de la Croix-Rouge. 71e circulaire. / L'activité maritime des sociétés de la Croix-Rouge d'après la conférence internationale de Berlin (avril 1869). / I. Quel rôle les Sociétés de la Croix-Rouge pourraient-elles remplir dans une guerre maritime ?	1891	194		article
10127	27044	90156x1891x55	AMN-1891-195	Les secours aux blessés dans les guerres maritimes. II. - Comité international de la Croix-Rouge - Genève. L'activité maritime des sociétés de la Croix-Rouge d'après la conférence internationale de Berlin (avril 1869). / II. De quel matériel les Sociétés de la Croix-Rouge auraient-elles besoin pour une guerre maritime, et comment pourraient-elles se le procurer ?. / III. De quel personnel les Sociétés de la Croix-Rouge auraient-elles besoin pour une guerre maritime, et comment pourraient-elles se le procurer ?	1891	195		article
10128	27045	90156x1891x55	AMN-1891-196	Les secours aux blessés dans les guerres maritimes. II. - Comité international de la Croix-Rouge - Genève. L'activité maritime des sociétés de la Croix-Rouge d'après la conférence internationale de Berlin (avril 1869). III. De quel personnel les Sociétés de la Croix-Rouge auraient-elles besoin pour une guerre maritime, et comment pourraient-elles se le procurer ?. / III. - Société de secours aux blessés militaires des armées de terre et de mer (Croix-Rouge française). / Quatrième séance. 12 juin, à 3 heures. Sous la présidence de M. le maréchal de Mac-Mahon	1891	196		article
10129	27057	90156x1891x55	AMN-1891-208	Les secours aux blessés dans les guerres maritimes. III. - Société de secours aux blessés militaires des armées de terre et de mer (Croix-Rouge française). Quatrième séance. 12 juin, à 3 heures. Sous la présidence de M. le maréchal de Mac-Mahon. / Note. / IV. - Dixième congrès médical international tenu à Berlin du 4 au 9 août 1890. / Dix-huitième section ; médecine militaire. / I. - Navires-hôpitaux militaires	1891	208		article
10130	27058	90156x1891x55	AMN-1891-209	Les secours aux blessés dans les guerres maritimes. IV. - Dixième congrès médical international tenu à Berlin du 4 au 9 août 1890. Dix-huitième section ; médecine militaire. I. - Navires-hôpitaux militaires. / II. - Participation des Sociétés de secours aux blessés	1891	209		article
10131	27061	90156x1891x55	AMN-1891-212	Les secours aux blessés dans les guerres maritimes. IV. - Dixième congrès médical international tenu à Berlin du 4 au 9 août 1890. Dix-huitième section ; médecine militaire. II. - Participation des Sociétés de secours aux blessés. / Union des femmes de France reconnue d'utilité publique. Rattachée au service de santé de l'armée, 29, Chaussé-d'Antin - Paris. / Concours sur la question des secours aux victimes des guerres maritimes. / Jury du concours	1891	212		article
10132	27062	90156x1891x55	AMN-1891-213	Union des femmes de France reconnue d'utilité publique. Rattachée au service de santé de l'armée, 29, Chaussé-d'Antin - Paris. Concours sur la question des secours aux victimes des guerres maritimes. Jury du concours. / Conditions du concours	1891	213		article
10133	27063	90156x1891x55	AMN-1891-214	Union des femmes de France reconnue d'utilité publique. Rattachée au service de santé de l'armée, 29, Chaussé-d'Antin - Paris. Concours sur la question des secours aux victimes des guerres maritimes. Conditions du concours. / Programmes du concours. / Première partie. / Programme	1891	214		article
10134	27064	90156x1891x55	AMN-1891-215	Union des femmes de France reconnue d'utilité publique. Rattachée au service de santé de l'armée, 29, Chaussé-d'Antin - Paris. Concours sur la question des secours aux victimes des guerres maritimes. Programmes du concours. Première partie. Programme. / Deuxième partie. / Programme	1891	215		article
10135	27065	90156x1891x55	AMN-1891-216	Union des femmes de France reconnue d'utilité publique. Rattachée au service de santé de l'armée, 29, Chaussé-d'Antin - Paris. Concours sur la question des secours aux victimes des guerres maritimes. Programmes du concours. Deuxième partie. Programme. / I. - Matériel. / II. - Personnel. / III. - Fonctionnement	1891	216		article
10136	27066	90156x1891x55	AMN-1891-217	Notes médicales sur le croiseur de 3e classe Le Forbin. Par M. le docteur H. Chevalier	1891	217	 / Hygrométrie. / Moyens de combattre l'humidité. Avant-projet de chauffage intérieur	article
10161	27113	90156x1891x55	AMN-1891-264	IV. Pratique journalière. Nouveaux conseils aux médecins de garde (Suite). Ophtalmologie. - Oto-Rhino-Laryngologie. Par M. le médecin principal Barrat	1891	264	 Ophtalmologie. Brûlures des paupières et de l'oeil. 2° Brûlures de la conjonctive. / Traumatismes de l'oeil et des régions orbitaires et palpébrales	article
10166	27147	90156x1891x55	AMN-1891-298	Contribution à la géographie médicale. Division navale de l'extrême orient. Esquisse climato-pathologique. Par M. le docteur Ch. Ségard	1891	298	 Tché-Foo. / Nagasaki	article
10175	27170	90156x1891x55	AMN-1891-321	Avis de la direction. [G. Treille.]. / Contribution à la géographie médicale. / Division navale de l'extrême orient. / Esquisse climato-pathologique. Par M. le docteur Ch. Ségard	1891	321	 (Suite et fin.)	article
10179	27178	90156x1891x55	AMN-1891-329	Pensions et gratifications de réforme certificats médicaux. Règles à suivre pour l'établissement des certificats médicaux à joindre aux mémoires de proposition de pensions. I Pensions à titre de blessures ou infirmités. Certificat d'origine (modèles n°s 1, 2, 3, 4, 5)	1891	329		article
10180	27179	90156x1891x55	AMN-1891-330	Pensions et gratifications de réforme certificats médicaux. Règles à suivre pour l'établissement des certificats médicaux à joindre aux mémoires de proposition de pensions. I Pensions à titre de blessures ou infirmités. Certificat d'origine (modèles n°s 1, 2, 3, 4, 5). Certificat d'incurabilité (modèle n° 6)	1891	330		article
10181	27180	90156x1891x55	AMN-1891-331	Pensions et gratifications de réforme certificats médicaux. Règles à suivre pour l'établissement des certificats médicaux à joindre aux mémoires de proposition de pensions. I Pensions à titre de blessures ou infirmités. Certificat d'incurabilité (modèle n° 6). Certificat de visite (modèle n° 7)	1891	331		article
10182	27181	90156x1891x55	AMN-1891-332	Pensions et gratifications de réforme certificats médicaux. Règles à suivre pour l'établissement des certificats médicaux à joindre aux mémoires de proposition de pensions. I Pensions à titre de blessures ou infirmités. Certificat de visite (modèle n° 7). 1° Au point de vue de la gravité. 2° Au point de vue de l'impotence fonctionnelle. 3° Au point de vue de la relation qui existe entre la lésion et la cause invoquée pour la justifier	1891	332		article
10183	27182	90156x1891x55	AMN-1891-333	Pensions et gratifications de réforme certificats médicaux. Règles à suivre pour l'établissement des certificats médicaux à joindre aux mémoires de proposition de pensions. I Pensions à titre de blessures ou infirmités. Certificat de visite (modèle n° 7). 3° Au point de vue de la relation qui existe entre la lésion et la cause invoquée pour la justifier. Certificat de contre-visite (modèle n° 7). II Gratifications de réforme renouvelables	1891	333		article
10184	27183	90156x1891x55	AMN-1891-334	Pensions et gratifications de réforme certificats médicaux. Règles à suivre pour l'établissement des certificats médicaux à joindre aux mémoires de proposition de pensions. II Gratifications de réforme renouvelables. / III Pensions de veuves	1891	334		article
10185	27187	90156x1891x55	AMN-1891-338	Pensions et gratifications de réforme certificats médicaux. / Annexes. - Modèles de certificats. / N° 1. Modèle d'un certificat d'origine de blessure à dresser à bord d'un bâtiment	1891	338		article
10186	27188	90156x1891x55	AMN-1891-339	Pensions et gratifications de réforme certificats médicaux. Annexes. - Modèles de certificats. / N° 2. Modèle d'un certificat d'origine de blessure ou de maladie, à dresser dans les corps de troupes	1891	339		article
10187	27189	90156x1891x55	AMN-1891-340	Pensions et gratifications de réforme certificats médicaux. Annexes. - Modèles de certificats. / N° 3. Modèle d'un certificat d'origine de blessure à dresser dans les arsenaux maritimes dans les établissements hors des ports	1891	340		article
10188	27191	90156x1891x55	AMN-1891-342	Pensions et gratifications de réforme certificats médicaux. Annexes. - Modèles de certificats. / N° 4. Modèle d'un certificats d'origine de maladie ou d'infirmités à dresser par le médecin-major d'un bâtiment	1891	342		article
10189	27192	90156x1891x55	AMN-1891-343	Pensions et gratifications de réforme certificats médicaux. Annexes. - Modèles de certificats. / N° 5. Modèle d'un certificat d'origine de maladie contagieuse ou endémique à dresser par le médecin-major d'un bâtiment	1891	343		article
10190	27193	90156x1891x55	AMN-1891-344	Pensions et gratifications de réforme certificats médicaux. Annexes. - Modèles de certificats. / N° 6. Modèle de certificat d'incurabilité à dresser par le médecin traitant dans un hôpital maritime	1891	344		article
10191	27194	90156x1891x55	AMN-1891-345	Pensions et gratifications de réforme certificats médicaux. Annexes. - Modèles de certificats. / N° 7. Modèle de certificat de visite (ou de contre-visite) dressé en exécution des articles 10 et 13 de l'ordonnance du 26 janvier 1832	1891	345		article
10192	27195	90156x1891x55	AMN-1891-346	Pensions et gratifications de réforme certificats médicaux. Annexes. - Modèles de certificats. / N° 8. Modèle de certificat de visite (ou de contre-visite) dressé en exécution des articles 10 et 13 de l'ordonnance du 26 janvier 1832, et de l'article 2 du décret du 10 août 1886	1891	346		article
10193	27196	90156x1891x55	AMN-1891-347	Pensions et gratifications de réforme certificats médicaux. Annexes. - Modèles de certificats. / N° 9. Modèle de déclaration à faire par écrit, par le médecin-major pour constater le décès, à bord, d'un individu, par suite de mort naturelle ou de blessure	1891	347		article
10194	27197	90156x1891x55	AMN-1891-348	Pensions et gratifications de réforme certificats médicaux. Annexes. - Modèles de certificats. / N° 10. Modèle de certificat de cause de décès à dresser (service à terre), à la suite d'une mort par blessures, infirmités, maladie contagieuse ou endémique. [E. Barbey.]	1891	348		article
10195	27198	90156x1891x55	AMN-1891-349	Pensions et gratifications de réforme certificats médicaux. Annexes. - Modèles de certificats. Décret qui abroge les décrets des 20 août et 27 novembre 1864 et fixe à cinq années le délai pour la production des demandes de pension ou de revision de pension à titre de blessures ou d'infirmités. (Du 10 août 1886.)	1891	349		article
